Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
05/04/2023,78.4 ( 0 %),"1,768","1,505,800",851.7,"2,058","1,767,600",859,"-261,800"
04/04/2023,78.4 ( 2.08 %),"2,204","2,513,100","1,140.25","2,457","2,125,000",865,"388,100"
03/04/2023,76.8 ( -1.29 %),"3,384","2,642,400",780.85,"2,272","2,659,100","1,170","-16,700"
31/03/2023,77.8 ( -1.77 %),"1,910","1,897,600",993.51,"2,065","2,373,500","1,149","-475,900"
30/03/2023,79.2 ( 0.51 %),"1,893","1,921,100","1,014.84","2,317","2,038,600",880,"-117,500"
29/03/2023,78.8 ( 1.55 %),"2,057","2,150,200","1,045.31","2,066","1,745,400",845,"404,800"
28/03/2023,77.6 ( 1.17 %),"2,504","2,812,100","1,123.04","3,011","2,661,600",884,"150,500"
27/03/2023,76.7 ( -1.67 %),"3,988","3,288,100",824.5,"1,985","2,701,400","1,361","586,700"
24/03/2023,78 ( -1.27 %),"2,762","2,386,300",863.98,"1,843","2,161,700","1,173","224,600"
23/03/2023,79 ( -1.86 %),"2,424","2,339,800",965.26,"1,913","2,331,300","1,219","8,500"
22/03/2023,80.5 ( 0.5 %),"2,975","3,111,300","1,045.82","1,975","2,883,300","1,460","228,000"
21/03/2023,80.1 ( -1.72 %),"1,247","1,823,600","1,462.39","1,324","1,539,200","1,163","284,400"
20/03/2023,81.5 ( -2.4 %),"2,387","1,913,200",801.51,"1,151","1,934,200","1,680","-21,000"
17/03/2023,83.5 ( -0.36 %),"1,197","1,702,700","1,422.47","1,226","2,147,100","1,751","-444,400"
16/03/2023,83.8 ( -1.06 %),"1,189","1,213,500","1,020.61","1,525","1,704,600","1,118","-491,100"
15/03/2023,84.7 ( 1.32 %),"1,100","1,532,400","1,393.09","1,558","1,541,900",990,"-9,500"
14/03/2023,83.6 ( -1.07 %),"2,348","1,409,400",600.26,"1,881","1,638,700",871,"-229,300"
13/03/2023,84.5 ( 0.72 %),"1,341","2,433,600","1,814.77","1,947","2,170,600","1,115","263,000"
10/03/2023,83.9 ( 3.84 %),"2,183","2,592,000","1,187.36","3,192","2,277,900",714,"314,100"
09/03/2023,80.8 ( 0.5 %),"2,249","1,955,000",869.28,"2,072","1,946,700",940,"8,300"
