Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
17/01/2022,130 ( -2.99 %),988,"1,001,600","1,013.77","1,070","1,647,000","1,539","-645,400"
14/01/2022,134 ( -1.11 %),555,"806,500","1,453.15","1,164","1,381,800","1,187","-575,300"
13/01/2022,135.5 ( -0.37 %),"1,194","1,507,400","1,262.48","1,961","2,273,800","1,160","-766,400"
12/01/2022,136 ( 3.19 %),"1,267","1,519,700","1,199.45",962,"1,366,200","1,420","153,500"
11/01/2022,131.8 ( -0.9 %),"1,007","999,000",992.06,991,"1,367,300","1,380","-368,300"
10/01/2022,133 ( -1.85 %),"1,361","1,131,100",831.08,"1,395","1,743,300","1,250","-612,200"
07/01/2022,135.5 ( -1.45 %),"1,257","1,307,400","1,040.1","1,176","1,731,800","1,473","-424,400"
06/01/2022,137.5 ( 0.29 %),"1,114","1,135,600","1,019.39","1,310","1,624,400","1,240","-488,800"
05/01/2022,137.1 ( -0.51 %),"1,081","1,672,300","1,546.99","1,838","2,145,800","1,167","-473,500"
04/01/2022,137.8 ( 1.4 %),"1,368","2,043,600","1,493.86","1,956","2,384,200","1,219","-340,600"
31/12/2021,135.9 ( 1.19 %),977,"1,522,000","1,557.83","1,207","1,658,100","1,374","-136,100"
30/12/2021,134.3 ( -0.07 %),871,"1,512,900","1,736.97",966,"1,346,000","1,393","166,900"
29/12/2021,134.4 ( -1.03 %),839,"1,235,000","1,471.99",920,"1,189,300","1,293","45,700"
28/12/2021,135.8 ( 0.67 %),878,"1,259,000","1,433.94","1,122","1,390,500","1,239","-131,500"
27/12/2021,134.9 ( 0.22 %),"1,048","1,131,500","1,079.68","1,039","1,352,000","1,301","-220,500"
24/12/2021,134.6 ( 0.75 %),793,"791,300",997.86,856,"1,083,800","1,266","-292,500"
23/12/2021,133.6 ( -0.89 %),"1,132","1,635,100","1,444.43","1,150","1,224,200","1,065","410,900"
22/12/2021,134.8 ( 1.35 %),"1,086","1,627,700","1,498.8","1,606","2,309,300","1,438","-681,600"
21/12/2021,133 ( 0 %),758,"828,100","1,092.48",715,"816,300","1,142","11,800"
20/12/2021,133 ( -1.12 %),"1,437","1,260,800",877.38,878,"1,440,200","1,640","-179,400"
