Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
22/04/2024,34.65 ( 0 %),846,"723,500",855.2,515,"1,021,000","1,983","-297,500"
19/04/2024,34.65 ( -1.84 %),992,"1,049,600","1,058.06",664,"1,449,900","2,184","-400,300"
17/04/2024,35.3 ( -1.81 %),820,"1,255,700","1,531.34",604,"1,137,100","1,883","118,600"
16/04/2024,35.95 ( -0.14 %),"1,282","1,602,200","1,249.77","1,004","1,923,600","1,916","-321,400"
15/04/2024,36 ( -2.31 %),"1,026","1,466,400","1,429.24","1,045","2,125,500","2,034","-659,100"
12/04/2024,36.85 ( 1.52 %),709,"1,062,400","1,498.45",625,"1,247,600","1,996","-185,200"
11/04/2024,36.3 ( -0.82 %),"1,575","1,721,200","1,092.83",603,"1,533,700","2,543","187,500"
10/04/2024,36.6 ( -1.48 %),"1,395","1,508,300","1,081.22",781,"1,934,300","2,477","-426,000"
09/04/2024,37.15 ( 0.27 %),812,"1,029,900","1,268.35",614,"1,476,300","2,404","-446,400"
08/04/2024,37.05 ( -0.27 %),"1,077","993,500",922.47,695,"1,539,200","2,215","-545,700"
05/04/2024,37.15 ( 0 %),"1,118","2,512,800","2,247.58","1,512","3,106,400","2,054","-593,600"
04/04/2024,37.15 ( -1.2 %),"1,149","1,933,100","1,682.42",693,"2,289,900","3,304","-356,800"
03/04/2024,37.6 ( -0.79 %),922,"1,667,300","1,808.35","1,303","2,669,700","2,049","-1,002,400"
02/04/2024,37.9 ( 1.2 %),"1,092","3,007,700","2,754.3","1,288","2,563,900","1,991","443,800"
01/04/2024,37.45 ( 0.4 %),"1,120","1,633,200","1,458.21","1,189","2,163,500","1,820","-530,300"
29/03/2024,37.3 ( -0.67 %),"1,231","1,995,700","1,621.2",838,"2,420,800","2,889","-425,100"
28/03/2024,37.55 ( -1.18 %),"1,419","2,241,300","1,579.49","1,062","2,841,600","2,676","-600,300"
27/03/2024,38 ( 0 %),971,"2,216,400","2,282.6","1,198","3,024,500","2,525","-808,100"
26/03/2024,38 ( 1.6 %),"1,225","2,094,700","1,709.96",870,"1,738,000","1,998","356,700"
25/03/2024,37.4 ( -1.58 %),"1,819","2,953,200","1,623.53","1,210","3,218,900","2,660","-265,700"
