Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
10/01/2025,53.6 ( 0 %),657,"723,600","1,101.37",504,"903,900","1,793","-180,300"
09/01/2025,53.6 ( -0.19 %),609,"676,300","1,110.51",868,"951,500","1,096","-275,200"
08/01/2025,53.7 ( 0 %),698,"874,400","1,252.72",683,"928,300","1,359","-53,900"
07/01/2025,53.7 ( 0.19 %),658,"938,800","1,426.75",645,"1,103,100","1,710","-164,300"
06/01/2025,53.6 ( -2.55 %),"1,068","1,588,300","1,487.17","1,079","1,864,600","1,728","-276,300"
03/01/2025,55 ( -1.08 %),605,"609,400","1,007.27",601,"1,026,300","1,708","-416,900"
02/01/2025,55.6 ( 0.18 %),"1,260","799,000",634.13,688,"1,415,300","2,057","-616,300"
31/12/2024,55.5 ( -1.07 %),561,"766,600","1,366.49",800,"1,504,700","1,881","-738,100"
30/12/2024,56.1 ( 0.54 %),673,"801,200","1,190.49",559,"1,135,100","2,031","-333,900"
27/12/2024,55.8 ( 0.18 %),880,"1,083,200","1,230.91",689,"1,491,800","2,165","-408,600"
26/12/2024,55.7 ( 0.54 %),"1,234","1,555,400","1,260.45",984,"1,966,300","1,998","-410,900"
25/12/2024,57.4 ( 0.35 %),"1,134","1,363,200","1,202.12","1,056","2,263,500","2,143","-900,300"
24/12/2024,57.2 ( 0 %),929,"893,800",962.11,639,"1,367,900","2,141","-474,100"
23/12/2024,57.2 ( 1.24 %),856,"1,189,800","1,389.95","1,097","1,773,900","1,617","-584,100"
20/12/2024,56.5 ( -0.7 %),"1,259","1,573,900","1,250.12","1,165","1,201,200","1,031","372,700"
19/12/2024,56.9 ( -0.87 %),"1,110","1,340,300","1,207.48",846,"1,227,400","1,451","112,900"
18/12/2024,57.4 ( 0.17 %),486,"645,000","1,327.16",433,"913,400","2,109","-268,400"
17/12/2024,57.3 ( 0 %),667,"975,900","1,463.12",868,"918,300","1,058","57,600"
16/12/2024,57.3 ( -0.17 %),719,"579,400",805.84,557,"661,500","1,188","-82,100"
13/12/2024,57.4 ( -0.17 %),834,"1,008,300","1,208.99",730,"1,212,400","1,661","-204,100"
