Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
18/07/2024,11.45 ( 0.88 %),"6,465","38,346,900","5,931.46","5,206","62,215,000","11,951","-23,868,100"
17/07/2024,11.85 ( -0.42 %),"8,223","77,641,500","9,441.99","11,211","126,251,400","11,261","-48,609,900"
16/07/2024,11.9 ( -0.42 %),"5,622","43,857,000","7,800.96","8,996","85,843,200","9,542","-41,986,200"
15/07/2024,11.95 ( 0.84 %),"5,001","55,569,600","11,111.7","9,231","78,241,500","8,476","-22,671,900"
12/07/2024,11.85 ( 0 %),"3,712","37,669,900","10,148.14","6,889","49,163,800","7,137","-11,493,900"
11/07/2024,11.85 ( 0 %),"3,901","32,453,100","8,319.17","8,196","61,117,300","7,457","-28,664,200"
10/07/2024,11.85 ( 0.42 %),"4,775","43,008,400","9,006.99","9,173","69,264,200","7,551","-26,255,800"
09/07/2024,11.8 ( 0.85 %),"4,780","51,058,700","10,681.74","8,369","63,754,200","7,618","-12,695,500"
08/07/2024,11.7 ( -0.43 %),"4,117","36,210,500","8,795.36","6,279","41,939,800","6,679","-5,729,300"
05/07/2024,11.75 ( 0.43 %),"3,952","36,639,900","9,271.23","6,835","47,579,100","6,961","-10,939,200"
04/07/2024,11.7 ( -0.43 %),"4,171","26,627,600","6,383.98","5,927","42,502,500","7,171","-15,874,900"
03/07/2024,11.75 ( 0 %),"4,396","34,079,900","7,752.48","7,767","57,239,000","7,370","-23,159,100"
02/07/2024,11.75 ( 1.29 %),"5,766","54,619,400","9,472.67","12,475","84,236,900","6,752","-29,617,500"
01/07/2024,11.6 ( 1.75 %),"3,945","30,843,400","7,818.35","6,537","47,292,700","7,235","-16,449,300"
28/06/2024,11.4 ( 0.88 %),"5,900","47,003,500","7,966.69","6,609","47,531,600","7,192","-528,100"
27/06/2024,11.3 ( -0.44 %),"4,808","27,012,700","5,618.28","3,690","32,231,400","8,735","-5,218,700"
26/06/2024,11.35 ( -0.44 %),"6,206","26,984,500","4,348.13","3,991","33,514,600","8,398","-6,530,100"
25/06/2024,11.4 ( 0.88 %),"6,339","38,463,100","6,067.69","4,087","33,329,800","8,155","5,133,300"
24/06/2024,11.3 ( -2.16 %),"11,612","54,401,200","4,684.91","6,580","69,994,800","10,638","-15,593,600"
21/06/2024,11.55 ( -0.43 %),"5,924","34,099,300","5,756.13","4,776","37,768,000","7,908","-3,668,700"
