Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
23/02/2024,23 ( 0 %),"1,400","3,573,000","2,552.14","1,086","2,898,500","2,669","674,500"
22/02/2024,23 ( 0.22 %),"1,162","2,973,000","2,558.52",729,"2,094,200","2,873","878,800"
21/02/2024,22.95 ( -0.22 %),"1,393","2,691,400","1,932.09",730,"2,455,600","3,364","235,800"
20/02/2024,23 ( -0.22 %),"1,085","2,064,700","1,902.95",821,"2,902,100","3,535","-837,400"
19/02/2024,23.05 ( -0.86 %),981,"2,321,600","2,366.56",829,"2,695,200","3,251","-373,600"
16/02/2024,23.25 ( 0 %),633,"1,729,000","2,731.44",726,"2,109,200","2,905","-380,200"
15/02/2024,23.25 ( 0.22 %),824,"2,170,300","2,633.86",845,"2,597,800","3,074","-427,500"
07/02/2024,23.2 ( 0.87 %),0,0,0,0,0,0,0
06/02/2024,23 ( 0 %),508,"1,730,900","3,407.28",691,"1,958,800","2,835","-227,900"
05/02/2024,23 ( 1.1 %),929,"2,166,800","2,332.4",923,"2,797,400","3,031","-630,600"
02/02/2024,22.75 ( 0 %),"1,187","2,929,500","2,467.99",773,"3,150,800","4,076","-221,300"
01/02/2024,22.75 ( -0.66 %),709,"1,754,300","2,474.33",568,"2,384,100","4,197","-629,800"
31/01/2024,22.9 ( -0.43 %),923,"1,995,800","2,162.3","1,009","3,559,200","3,527","-1,563,400"
30/01/2024,23 ( 0 %),688,"1,667,000","2,422.97",561,"2,366,400","4,218","-699,400"
29/01/2024,23 ( -0.43 %),552,"1,695,700","3,071.92",470,"2,042,700","4,346","-347,000"
26/01/2024,23.1 ( 0 %),686,"1,788,900","2,607.73",488,"2,074,000","4,250","-285,100"
25/01/2024,23.1 ( 0 %),627,"1,735,500","2,767.94",489,"2,103,500","4,302","-368,000"
24/01/2024,23.1 ( 0 %),703,"1,640,200","2,333.14",745,"2,475,900","3,323","-835,700"
23/01/2024,23.1 ( -0.65 %),675,"1,961,900","2,906.52",629,"2,082,900","3,311","-121,000"
22/01/2024,23.25 ( 0.65 %),741,"2,375,300","3,205.53",745,"2,535,100","3,403","-159,800"
