Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
12/08/2022,24.9 ( 2.05 %),"7,800","41,855,500","5,366.09","9,906","34,260,200","3,459","7,595,300"
11/08/2022,24.4 ( -0.81 %),"11,772","45,642,600","3,877.22","14,235","55,268,500","3,883","-9,625,900"
10/08/2022,24.55 ( -1.01 %),"9,270","26,079,200","2,813.29","8,159","30,412,400","3,727","-4,333,200"
09/08/2022,24.8 ( 0.4 %),"10,065","29,230,200","2,904.14","10,256","30,462,500","2,970","-1,232,300"
08/08/2022,24.65 ( -0.6 %),"11,344","37,877,900","3,339.03","14,206","45,718,200","3,218","-7,840,300"
05/08/2022,24.8 ( 5.08 %),"12,992","65,154,400","5,014.96","16,650","49,927,900","2,999","15,226,500"
04/08/2022,23.55 ( -0.21 %),"12,746","41,045,200","3,220.24","13,148","40,782,000","3,102","263,200"
03/08/2022,23.55 ( 1.51 %),"13,236","54,718,400","4,134.06","12,967","39,463,300","3,043","15,255,100"
02/08/2022,23.2 ( 1.75 %),"14,438","60,616,800","4,198.42","16,753","59,606,100","3,558","1,010,700"
01/08/2022,22.8 ( 6.54 %),"13,130","72,747,700","5,540.57","17,430","40,679,700","2,334","32,068,000"
29/07/2022,21.35 ( 0.71 %),"8,631","36,036,900","4,175.29","14,566","42,977,400","2,951","-6,940,500"
28/07/2022,21.15 ( 3.68 %),"6,935","34,056,500","4,910.81","12,804","38,289,900","2,990","-4,233,400"
27/07/2022,20.4 ( 0.49 %),"9,988","38,444,900","3,849.11","6,898","33,167,800","4,808","5,277,100"
26/07/2022,20.25 ( -1.22 %),"7,270","27,185,800","3,739.45","6,175","31,647,800","5,125","-4,462,000"
25/07/2022,20.45 ( -2.15 %),"12,668","31,329,700","2,473.14","8,285","35,817,800","4,323","-4,488,100"
22/07/2022,20.9 ( -1.88 %),"9,470","27,987,800","2,955.42","10,711","39,804,900","3,716","-11,817,100"
21/07/2022,21.3 ( 0 %),"8,407","27,060,200","3,218.77","10,687","35,101,500","3,285","-8,041,300"
20/07/2022,21.3 ( 2.9 %),"8,682","34,511,400","3,975.05","14,145","45,120,600","3,190","-10,609,200"
19/07/2022,20.65 ( -1.2 %),"15,900","35,082,200","2,206.43","7,566","36,119,100","4,774","-1,036,900"
18/07/2022,20.9 ( -0.95 %),"11,777","32,886,600","2,792.44","9,041","37,494,300","4,147","-4,607,700"
