Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
05/04/2023,29.5 ( 0 %),"2,198","9,957,500","4,530.25","3,102","8,587,600","2,768","1,369,900"
04/04/2023,29.5 ( 0.68 %),"2,805","15,221,600","5,426.6","4,320","12,060,000","2,792","3,161,600"
03/04/2023,29.3 ( 3.17 %),"4,438","17,834,200","4,018.52","7,123","18,667,500","2,621","-833,300"
31/03/2023,28.35 ( 2.35 %),"2,507","11,391,500","4,543.88","5,160","13,908,500","2,695","-2,517,000"
30/03/2023,27.7 ( -1.07 %),"2,096","7,647,900","3,648.81","4,227","11,489,300","2,718","-3,841,400"
29/03/2023,28 ( 1.45 %),"2,073","8,959,100","4,321.8","5,695","12,503,000","2,195","-3,543,900"
28/03/2023,27.55 ( 3.96 %),"3,007","15,657,400","5,206.98","5,896","12,570,700","2,132","3,086,700"
27/03/2023,26.5 ( 0 %),"1,397","3,126,500","2,238.01","1,689","3,803,400","2,252","-676,900"
24/03/2023,26.45 ( 0.95 %),"1,398","3,517,400","2,516.02","2,037","4,390,200","2,155","-872,800"
23/03/2023,26.2 ( 0 %),"3,074","5,326,100","1,732.63","1,351","3,466,300","2,566","1,859,800"
22/03/2023,26.2 ( -0.76 %),"1,817","4,359,700","2,399.39","1,207","4,886,200","4,048","-526,500"
21/03/2023,26.35 ( 0.19 %),"2,014","4,352,400","2,161.07","1,423","4,157,300","2,922","195,100"
20/03/2023,26.25 ( -1.69 %),"2,547","3,915,900","1,537.46","1,094","4,010,000","3,665","-94,100"
17/03/2023,26.65 ( -0.56 %),"1,246","2,558,800","2,053.61","1,552","4,037,400","2,601","-1,478,600"
16/03/2023,26.75 ( -1.65 %),"2,746","4,309,500","1,569.37","1,665","4,614,500","2,771","-305,000"
15/03/2023,27.2 ( 3.42 %),"1,322","4,641,900","3,511.27","2,479","4,934,200","1,990","-292,300"
14/03/2023,26.3 ( -1.87 %),"2,702","4,769,900","1,765.32","1,522","4,908,500","3,225","-138,600"
13/03/2023,26.75 ( -1.65 %),"3,078","5,967,500","1,938.76","1,680","5,486,500","3,266","481,000"
10/03/2023,27.15 ( -2.34 %),"3,638","4,224,800","1,161.3","1,768","5,205,700","2,944","-980,900"
09/03/2023,27.8 ( 1.83 %),"1,975","6,357,800","3,219.14","2,782","5,773,000","2,075","584,800"
