Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
08/11/2022,20.5 ( 1.99 %),"1,949","6,642,100","3,407.95","1,344","7,108,900","5,289","-466,800"
07/11/2022,20.1 ( -5.63 %),"1,669","5,711,200","3,421.93","1,209","4,751,300","3,930","959,900"
04/11/2022,21.3 ( 0 %),"2,565","10,774,800","4,200.7","2,381","9,286,900","3,900","1,487,900"
03/11/2022,21.25 ( -1.62 %),"2,141","6,214,100","2,902.43","1,571","6,231,200","3,966","-17,100"
02/11/2022,21.55 ( -1.15 %),"1,514","6,918,300","4,569.55","1,409","6,799,400","4,826","118,900"
01/11/2022,21.8 ( 5.31 %),"2,145","10,197,000","4,753.85","2,264","9,348,900","4,129","848,100"
31/10/2022,20.7 ( -0.96 %),"1,174","4,363,500","3,716.78","1,255","5,073,100","4,042","-709,600"
28/10/2022,20.85 ( -0.71 %),"1,541","4,954,600","3,215.18","1,775","4,512,600","2,542","442,000"
27/10/2022,21 ( 5 %),"1,579","7,725,500","4,892.65","1,683","6,985,000","4,150","740,500"
26/10/2022,20 ( -0.99 %),808,"2,324,900","2,877.35","1,082","3,283,500","3,035","-958,600"
25/10/2022,20.15 ( -0.25 %),"1,246","5,555,200","4,458.43","1,689","6,297,600","3,729","-742,400"
24/10/2022,20.15 ( 0.25 %),"1,112","5,100,100","4,586.42","1,363","5,483,100","4,023","-383,000"
21/10/2022,20.1 ( -2.43 %),"1,876","3,964,100","2,113.06","1,188","4,277,800","3,601","-313,700"
20/10/2022,20.6 ( 0 %),"1,664","3,043,400","1,828.97","1,622","3,533,100","2,178","-489,700"
19/10/2022,20.55 ( -0.24 %),"1,148","2,691,300","2,344.34","1,117","3,109,200","2,784","-417,900"
18/10/2022,20.6 ( 0 %),"1,284","3,658,400","2,849.22","1,507","5,042,500","3,346","-1,384,100"
17/10/2022,20.6 ( 0 %),"2,178","6,479,300","2,974.89","1,683","5,591,400","3,322","887,900"
14/10/2022,20.6 ( 0 %),"1,699","3,521,500","2,072.69","1,543","4,332,500","2,808","-811,000"
13/10/2022,20.6 ( 0.49 %),"1,852","6,415,200","3,463.93","2,947","5,568,500","1,890","846,700"
12/10/2022,20.5 ( 5.67 %),"2,236","9,291,300","4,155.32","2,079","6,067,100","2,918","3,224,200"
