Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
23/02/2024,88.9 ( -0.67 %),"2,346","2,871,400","1,223.96","2,739","3,383,900","1,235","-512,500"
22/02/2024,89.5 ( -1.86 %),"2,395","2,079,000",868.06,"1,383","2,286,100","1,653","-207,100"
21/02/2024,91.2 ( -0.11 %),"2,280","2,152,400",944.04,"1,693","2,416,900","1,428","-264,500"
20/02/2024,91.3 ( 1.22 %),"2,550","2,535,500",994.31,"1,934","2,375,100","1,228","160,400"
19/02/2024,90.2 ( 0.67 %),"1,772","1,765,600",996.39,"1,302","1,778,400","1,366","-12,800"
16/02/2024,89.6 ( -0.33 %),"1,677","1,131,800",674.9,"1,121","1,871,400","1,669","-739,600"
15/02/2024,89.9 ( -0.11 %),"1,878","1,758,500",936.37,"1,213","1,492,900","1,231","265,600"
07/02/2024,90 ( 0.56 %),0,0,0,0,0,0,0
06/02/2024,89.5 ( -0.56 %),"2,157","2,391,900","1,108.9","1,665","2,746,800","1,650","-354,900"
05/02/2024,90 ( -0.33 %),"1,881","2,698,100","1,434.4","1,177","2,939,000","2,497","-240,900"
02/02/2024,90.3 ( 0.56 %),969,"1,178,600","1,216.31",859,"1,841,800","2,144","-663,200"
01/02/2024,89.8 ( 1.47 %),"1,702","1,506,900",885.37,998,"1,739,200","1,743","-232,300"
31/01/2024,88.5 ( -2.75 %),"2,243","2,369,000","1,056.17","1,023","2,284,700","2,233","84,300"
30/01/2024,91 ( -0.22 %),"1,069","1,275,600","1,193.26","1,114","1,718,900","1,543","-443,300"
29/01/2024,91.2 ( -0.87 %),"1,434","1,177,600",821.2,819,"1,323,200","1,616","-145,600"
26/01/2024,92 ( 1.1 %),672,"1,310,900","1,950.74",996,"1,500,100","1,506","-189,200"
25/01/2024,91 ( -0.11 %),680,"912,300","1,341.62",648,"1,304,600","2,013","-392,300"
24/01/2024,91.1 ( -0.44 %),874,"1,410,900","1,614.3",824,"1,522,600","1,848","-111,700"
23/01/2024,91.5 ( -0.54 %),"1,691","2,064,700","1,220.99","1,344","2,400,200","1,786","-335,500"
22/01/2024,92 ( -0.65 %),903,"1,445,200","1,600.44","1,378","2,428,600","1,762","-983,400"
