Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
19/01/2024,43.05 ( -0.35 %),"4,634","8,671,000","1,871.17","5,066","13,521,900","2,669","-4,850,900"
18/01/2024,43.2 ( 3.1 %),"4,844","14,902,400","3,076.47","7,130","16,207,500","2,273","-1,305,100"
17/01/2024,41.9 ( -1.76 %),"4,396","9,044,700","2,057.48","4,044","12,653,400","3,129","-3,608,700"
16/01/2024,42.65 ( 2.52 %),"3,579","8,258,100","2,307.38","3,542","6,398,900","1,807","1,859,200"
15/01/2024,41.6 ( 0.73 %),"3,203","6,192,200","1,933.25","2,485","5,892,000","2,371","300,200"
12/01/2024,41.3 ( -1.67 %),"8,865","15,524,000","1,751.16","4,292","12,929,100","3,012","2,594,900"
11/01/2024,42 ( -1.64 %),"5,405","10,591,700","1,959.61","3,903","13,242,400","3,393","-2,650,700"
10/01/2024,42.7 ( -0.7 %),0,0,0,0,0,0,0
09/01/2024,43 ( -0.81 %),"5,457","10,005,100","1,833.44","3,736","11,808,500","3,161","-1,803,400"
08/01/2024,43.35 ( 0.58 %),"4,262","10,197,000","2,392.54","3,928","11,594,700","2,952","-1,397,700"
05/01/2024,43.1 ( -0.81 %),"3,316","7,594,000","2,290.11","3,612","8,676,800","2,402","-1,082,800"
04/01/2024,43.45 ( 0.12 %),"3,928","13,149,900","3,347.73","5,712","14,521,600","2,542","-1,371,700"
03/01/2024,43.4 ( 0.93 %),"4,748","13,228,700","2,786.16","3,419","11,504,400","3,365","1,724,300"
02/01/2024,43 ( -0.46 %),"5,130","11,511,900","2,244.04","4,795","13,363,700","2,787","-1,851,800"
29/12/2023,43.2 ( -1.14 %),0,0,0,0,0,0,0
28/12/2023,43.7 ( 4.3 %),"7,704","24,059,000","3,122.92","12,454","20,760,600","1,667","3,298,400"
27/12/2023,41.9 ( 0 %),"3,774","12,017,900","3,184.39","5,907","13,112,600","2,220","-1,094,700"
26/12/2023,41.9 ( 1.7 %),"5,349","23,682,500","4,427.46","8,527","20,217,600","2,371","3,464,900"
25/12/2023,41.2 ( 2.23 %),"3,514","9,715,500","2,764.8","5,389","10,173,400","1,888","-457,900"
22/12/2023,40.3 ( 0.25 %),"3,088","5,722,300","1,853.08","3,339","7,229,600","2,165","-1,507,300"
