Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
22/04/2024,42 ( -1.41 %),"4,466","4,780,900","1,070.51","1,892","5,209,600","2,753","-428,700"
19/04/2024,42.6 ( -5.33 %),"4,631","5,110,300","1,103.5","3,009","6,578,000","2,186","-1,467,700"
17/04/2024,45 ( -3.02 %),"3,262","4,993,600","1,530.84","2,340","7,231,500","3,090","-2,237,900"
16/04/2024,46.4 ( -1.28 %),"4,496","6,807,200","1,514.06","4,029","9,996,400","2,481","-3,189,200"
15/04/2024,47 ( -2.99 %),"3,526","7,246,800","2,055.25","3,956","10,512,800","2,657","-3,266,000"
12/04/2024,48.45 ( 0.31 %),"1,435","4,161,400","2,899.93","3,375","6,142,000","1,820","-1,980,600"
11/04/2024,48.3 ( -0.41 %),"1,873","5,214,100","2,783.82","3,440","6,174,500","1,795","-960,400"
10/04/2024,48.5 ( 1.68 %),"2,382","8,772,900","3,683","6,502","9,267,200","1,425","-494,300"
09/04/2024,47.7 ( 0 %),"1,867","4,280,700","2,292.82","2,410","6,539,800","2,714","-2,259,100"
08/04/2024,47.7 ( -0.21 %),"1,511","3,715,700","2,459.1","3,303","5,955,700","1,803","-2,240,000"
05/04/2024,47.8 ( -0.1 %),"1,533","4,657,700","3,038.29","3,195","5,874,500","1,839","-1,216,800"
04/04/2024,47.85 ( 0.21 %),"1,349","5,397,400","4,001.04","4,243","7,310,300","1,723","-1,912,900"
03/04/2024,47.75 ( -0.1 %),"2,115","5,890,900","2,785.3","4,189","7,560,400","1,805","-1,669,500"
02/04/2024,47.8 ( -0.1 %),"2,276","6,819,200","2,996.13","3,548","9,012,000","2,540","-2,192,800"
01/04/2024,47.85 ( 0.42 %),"1,737","5,821,500","3,351.47","5,362","10,151,800","1,893","-4,330,300"
29/03/2024,47.65 ( 0.11 %),"1,806","4,847,000","2,683.83","4,489","8,628,000","1,922","-3,781,000"
28/03/2024,47.6 ( 1.17 %),"2,477","7,496,800","3,026.56","5,952","11,850,300","1,991","-4,353,500"
27/03/2024,47.05 ( 0 %),"2,253","6,173,400","2,740.08","3,932","8,830,400","2,246","-2,657,000"
26/03/2024,47.05 ( 0.43 %),"1,955","4,715,800","2,412.17","4,656","9,000,900","1,933","-4,285,100"
25/03/2024,46.85 ( 0.54 %),"3,454","7,866,900","2,277.62","6,004","10,749,200","1,790","-2,882,300"
