Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
30/03/2021,131.6 ( 0 %),494,"665,400","1,346.96",530,"1,243,400","2,346","-578,000"
29/03/2021,131.6 ( 0.84 %),563,"939,400","1,668.56",520,"811,400","1,560","128,000"
26/03/2021,130.5 ( 1.87 %),417,"886,400","2,125.66",415,"539,600","1,300","346,800"
25/03/2021,128.1 ( 0.08 %),529,"758,000","1,432.89",547,"771,000","1,410","-13,000"
24/03/2021,128 ( -2.29 %),528,"626,000","1,185.61",373,"783,000","2,099","-157,000"
23/03/2021,131 ( -1.28 %),465,"566,800","1,218.92",371,"555,400","1,497","11,400"
22/03/2021,132.7 ( 1.69 %),557,"827,500","1,485.64",344,"591,200","1,719","236,300"
19/03/2021,130.5 ( -3.26 %),587,"1,312,200","2,235.43",486,"1,190,400","2,449","121,800"
18/03/2021,134.9 ( 1.05 %),490,"870,000","1,775.51",425,"685,300","1,612","184,700"
17/03/2021,133.5 ( -0.52 %),646,"79,160",122.54,450,"92,990",207,"-13,830"
16/03/2021,134.6 ( -0.3 %),386,"594,100","1,539.12",384,"641,800","1,671","-47,700"
15/03/2021,135 ( 0 %),485,"63,620",131.18,484,"63,620",131,0
12/03/2021,135 ( -0.81 %),565,"640,600","1,133.81",394,"697,000","1,769","-56,400"
11/03/2021,136.1 ( 0.44 %),534,"874,100","1,636.89",436,"767,400","1,760","106,700"
10/03/2021,135.5 ( 0.44 %),498,"960,600","1,928.92",561,"941,200","1,678","19,400"
09/03/2021,134.9 ( -0.81 %),0,0,0,0,0,0,0
08/03/2021,136 ( -0.58 %),449,"62,500",139.2,588,"71,660",122,"-9,160"
05/03/2021,136.8 ( 0 %),373,"690,600","1,851.47",426,"752,100","1,765","-61,500"
04/03/2021,136.8 ( -0.29 %),406,"576,700","1,420.44",384,"518,200","1,349","58,500"
03/03/2021,137.2 ( -0.36 %),701,"1,012,100","1,443.79",507,"949,400","1,873","62,700"
