Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
18/07/2024,65.9 ( 0.3 %),"3,772","5,292,600","1,403.13","2,259","3,972,700","1,759","1,319,900"
17/07/2024,65.7 ( -0.61 %),"3,592","4,971,900","1,384.16","3,309","6,115,400","1,848","-1,143,500"
16/07/2024,66.1 ( -0.15 %),"2,273","4,113,400","1,809.68","2,801","4,764,700","1,701","-651,300"
15/07/2024,66.2 ( -0.15 %),"2,471","4,063,000","1,644.27","2,586","4,546,000","1,758","-483,000"
12/07/2024,66.3 ( 0 %),"3,332","5,221,000","1,566.93","1,752","4,396,600","2,509","824,400"
11/07/2024,66.3 ( -0.75 %),"3,780","6,788,800","1,795.98","2,549","7,682,200","3,014","-893,400"
10/07/2024,66.8 ( -1.04 %),"3,262","6,352,000","1,947.27","4,278","8,733,800","2,042","-2,381,800"
09/07/2024,67.5 ( -0.15 %),"2,980","9,226,700","3,096.21","5,080","10,286,300","2,025","-1,059,600"
08/07/2024,67.6 ( 0.6 %),"3,213","9,640,300","3,000.4","6,838","9,334,000","1,365","306,300"
05/07/2024,67.2 ( 1.2 %),"3,185","8,540,100","2,681.35","6,729","9,577,700","1,423","-1,037,600"
04/07/2024,66.4 ( 0.3 %),"2,932","6,690,400","2,281.86","4,458","9,701,100","2,176","-3,010,700"
03/07/2024,66.2 ( 0 %),"1,863","2,807,000","1,506.71","2,923","4,509,800","1,543","-1,702,800"
02/07/2024,66.2 ( 0.3 %),"2,162","3,721,400","1,721.28","3,259","5,208,900","1,598","-1,487,500"
01/07/2024,66 ( 0.76 %),"2,467","4,279,900","1,734.86","2,090","4,535,600","2,170","-255,700"
28/06/2024,65.5 ( 0.31 %),"2,689","4,669,800","1,736.63","4,104","5,989,300","1,459","-1,319,500"
27/06/2024,65.3 ( 0.15 %),"3,924","5,955,700","1,517.76","2,534","5,334,400","2,105","621,300"
26/06/2024,65.2 ( -0.46 %),"4,294","4,885,100","1,137.66","2,136","5,204,800","2,437","-319,700"
25/06/2024,65.5 ( 0 %),"2,735","4,687,100","1,713.75","2,976","5,639,500","1,895","-952,400"
24/06/2024,65.5 ( -0.76 %),"4,204","5,697,100","1,355.16","4,096","7,644,700","1,866","-1,947,600"
21/06/2024,66 ( 0 %),"3,733","7,699,400","2,062.52","5,460","8,900,300","1,630","-1,200,900"
