Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
23/05/2024,18.5 ( 1.09 %),"6,273","20,206,200","3,221.14","3,409","14,966,000","4,390","5,240,200"
22/05/2024,18.3 ( -2.66 %),"13,474","34,055,000","2,527.46","6,054","39,099,500","6,458","-5,044,500"
21/05/2024,19.8 ( 0 %),"4,848","37,508,400","7,736.88","7,456","44,975,000","6,032","-7,466,600"
20/05/2024,19.8 ( 2.06 %),"5,988","48,265,500","8,060.37","9,993","44,212,600","4,424","4,052,900"
17/05/2024,19.4 ( 0 %),"6,033","27,444,900","4,549.13","7,022","25,319,400","3,606","2,125,500"
16/05/2024,19.4 ( 1.84 %),"6,770","38,754,400","5,724.43","9,151","38,798,300","4,240","-43,900"
15/05/2024,19.05 ( -0.26 %),"4,070","20,037,100","4,923.12","5,245","27,270,100","5,199","-7,233,000"
14/05/2024,19.1 ( 1.6 %),"7,284","39,869,100","5,473.52","7,734","41,258,500","5,335","-1,389,400"
13/05/2024,18.8 ( 1.62 %),"4,496","31,009,500","6,897.13","5,465","28,014,300","5,126","2,995,200"
10/05/2024,18.5 ( -1.33 %),"6,008","21,261,100","3,538.8","3,674","21,709,000","5,909","-447,900"
09/05/2024,18.75 ( 1.08 %),"4,478","23,621,300","5,274.97","3,710","20,082,600","5,413","3,538,700"
08/05/2024,18.55 ( -1.33 %),"5,316","22,225,200","4,180.81","3,314","19,922,900","6,012","2,302,300"
07/05/2024,18.8 ( 0.27 %),"3,758","14,730,600","3,919.8","3,466","17,991,400","5,191","-3,260,800"
06/05/2024,18.75 ( 1.9 %),"4,506","21,341,900","4,736.33","3,519","20,150,800","5,726","1,191,100"
03/05/2024,18.4 ( 0.55 %),"3,456","19,071,400","5,518.34","2,942","19,330,400","6,570","-259,000"
02/05/2024,18.3 ( -1.35 %),"4,157","11,890,200","2,860.28","2,687","13,634,000","5,074","-1,743,800"
26/04/2024,18.55 ( -0.27 %),"4,809","19,467,000","4,048.03","3,152","19,271,600","6,114","195,400"
25/04/2024,18.6 ( 0 %),"4,959","19,284,200","3,888.73","6,136","20,795,000","3,389","-1,510,800"
24/04/2024,18.6 ( 1.09 %),"3,809","23,811,100","6,251.27","4,852","24,527,000","5,055","-715,900"
23/04/2024,18.4 ( 0.55 %),"5,427","25,022,500","4,610.74","4,906","26,364,000","5,374","-1,341,500"
