Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
08/11/2022,25.25 ( -0.98 %),997,"2,723,300","2,731.49","1,047","3,971,700","3,793","-1,248,400"
07/11/2022,25.5 ( -1.92 %),864,"2,309,300","2,672.8","1,327","3,173,300","2,391","-864,000"
04/11/2022,26 ( 0 %),"1,302","2,942,300","2,259.83","2,297","2,997,100","1,305","-54,800"
03/11/2022,26 ( 0.78 %),609,"1,035,900","1,700.99",649,"1,078,900","1,662","-43,000"
02/11/2022,25.8 ( -1.9 %),"1,513","2,146,700","1,418.84","1,321","2,954,500","2,237","-807,800"
01/11/2022,26.25 ( 6.71 %),"1,547","3,582,900","2,316.03","2,222","3,205,100","1,442","377,800"
31/10/2022,24.6 ( 3.8 %),"1,243","2,105,800","1,694.13","1,004","2,429,500","2,420","-323,700"
28/10/2022,23.7 ( -0.42 %),"2,452","2,354,200",960.11,"3,459","2,618,500",757,"-264,300"
27/10/2022,23.75 ( 6.98 %),"2,039","3,645,200","1,787.74","1,601","2,581,900","1,613","1,063,300"
26/10/2022,22.2 ( -3.48 %),975,"1,073,100","1,100.62",688,"1,863,600","2,709","-790,500"
25/10/2022,23 ( 2.68 %),"1,245","2,636,100","2,117.35","1,585","3,102,800","1,958","-466,700"
24/10/2022,22.35 ( -6.87 %),"1,279","2,420,900","1,892.81","1,885","3,052,200","1,619","-631,300"
21/10/2022,24 ( -4.38 %),818,"1,452,500","1,775.67",815,"1,352,200","1,659","100,300"
20/10/2022,25.1 ( -0.4 %),"1,629","2,437,200","1,496.13","1,085","2,273,500","2,095","163,700"
19/10/2022,25.2 ( -2.33 %),841,"1,165,100","1,385.37","1,095","1,632,000","1,490","-466,900"
18/10/2022,25.8 ( 3.61 %),730,"1,418,800","1,943.56","1,040","1,741,800","1,675","-323,000"
17/10/2022,24.9 ( -1.19 %),"1,553","2,290,500","1,474.89","1,601","1,662,900","1,039","627,600"
14/10/2022,25.2 ( -1.56 %),"1,037","1,262,800","1,217.74","1,003","1,443,700","1,439","-180,900"
13/10/2022,25.6 ( 5.79 %),930,"2,672,800","2,873.98","1,798","2,257,700","1,256","415,100"
12/10/2022,24.2 ( 2.11 %),"2,175","3,932,300","1,807.95","1,863","3,433,400","1,843","498,900"
