Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
06/05/2021,34.8(-1.42 %),0,0,"110,000",41.53,"110,000",41.53,0,30%
05/05/2021,35.3(2.47 %),0,0,"500,000",18.43,"500,000",18.43,1,30%
04/05/2021,34.45(-0.58 %),0,0,0,0,0,0,1,30%
29/04/2021,34.65(2.51 %),"154,000",5.36,"154,000",5.36,0,0,1,30%
28/04/2021,33.8(-0.59 %),0,0,"50,000",17.85,"50,000",17.85,1,30%
27/04/2021,34(2.10 %),"15,000",5.14,"15,000",5.14,0,0,1,30%
26/04/2021,33.3(-0.30 %),"-154,000",-5.07,0,0,"154,000",5.07,"304,001",29.99%
23/04/2021,33.4(2.77 %),0,0,"26,680",9.27,"26,680",9.27,1,30%
22/04/2021,32.5(-3.27 %),"-149,700",-4.64,"175,500",12.01,"325,200",16.65,"150,001",29.99%
20/04/2021,33.6(-0.30 %),"318,800",11,"318,800",11,0,0,301,30%
19/04/2021,33.7(1.81 %),0,0,0,0,0,0,"319,101",29.99%
16/04/2021,33.1(-2.22 %),-30,-0.01,0,0,30,0.01,1,30%
15/04/2021,33.85(-2.17 %),"-318,800",-10.95,0,0,"318,800",10.95,"318,801",23.99%
14/04/2021,34.6(0.00 %),"258,400",9.21,"352,900",12.57,"94,500",3.37,"-115,899",30.01%
13/04/2021,34.6(-1.56 %),"100,200",3.63,"1,647,300",60.72,"1,547,100",57.09,"142,501",29.99%
12/04/2021,35.15(2.18 %),0,0,0,0,0,0,1,30%
09/04/2021,34.4(0.00 %),"111,900",4.24,"670,300",23.75,"558,400",19.51,"242,701",29.99%
08/04/2021,34.4(0.00 %),"-10,020",-3.46,"48,900",17.33,"58,920",20.79,1,30%
07/04/2021,34.4(-1.01 %),0,0,0,0,0,0,"254,401",29.99%
06/04/2021,34.75(0.00 %),"-135,300",-4.71,"378,000",13.27,"513,300",17.98,"254,401",29.99%
