Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
12/08/2022,81(1.89 %),"81,500",6.6,"82,600",6.69,"1,100",0.09,"478,522,400",2.77%
11/08/2022,79.5(-0.62 %),"50,100",3.98,"51,000",4.05,900,0.07,"478,604,500",2.76%
10/08/2022,80(2.17 %),300,0.02,800,0.06,500,0.04,"478,655,400",2.75%
09/08/2022,78.3(0.00 %),"10,000",0.78,"10,100",0.79,100,0.01,"478,655,300",2.75%
08/08/2022,78.3(0.38 %),"27,300",2.14,"28,200",2.21,900,0.07,"478,665,400",2.75%
05/08/2022,78(1.69 %),"73,200",5.71,"73,200",5.71,0,0,"478,693,600",2.75%
04/08/2022,76.7(2.54 %),"39,900",3.06,"39,900",3.06,0,0,"478,766,800",2.74%
03/08/2022,74.8(-1.06 %),"40,800",3.05,"40,800",3.05,0,0,"478,795,300",2.74%
02/08/2022,75.6(0.27 %),"88,600",6.7,"100,000",7.56,"11,400",0.86,"478,835,800",2.74%
01/08/2022,75.4(2.59 %),"100,000",7.54,"100,300",7.56,300,0.02,"478,918,600",2.73%
29/07/2022,73.5(2.23 %),"107,800",7.92,"125,000",9.19,"17,200",1.26,"478,983,100",2.72%
28/07/2022,71.9(4.96 %),"117,000",8.41,"152,800",10.99,"35,800",2.57,"479,107,700",2.71%
27/07/2022,68.5(0.00 %),"34,600",2.37,"35,000",2.4,400,0.03,"479,258,400",2.69%
26/07/2022,68.5(1.03 %),"63,100",4.32,"65,200",4.47,"2,100",0.14,"479,292,900",2.69%
25/07/2022,67.8(1.95 %),"17,300",1.17,"17,800",1.21,500,0.03,"479,305,500",2.69%
22/07/2022,66.5(6.91 %),"84,300",2.05,"84,300",5.55,0,3.5,"479,323,300",2.69%
21/07/2022,62.2(-1.27 %),"50,100",3.12,"50,100",3.12,0,0,"479,406,800",2.68%
20/07/2022,63(2.44 %),"51,300",3.23,"51,300",3.23,0,0,"479,406,900",2.68%
19/07/2022,61.5(-2.23 %),"-49,400",-3.04,600,0.04,"50,000",3.08,"479,433,200",2.68%
18/07/2022,62.9(0.16 %),"-24,900",-1.57,100,0.01,"25,000",1.57,"479,383,800",2.68%
