Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
06/12/2022,39.1(-5.33 %),"-135,100",-5.28,"664,700",25.99,"799,800",31.27,"648,050,329",17.19%
05/12/2022,41.25(0.12 %),"278,092",11.47,"299,101",12.34,"21,009",0.87,"647,915,229",17.19%
02/12/2022,41.2(5.64 %),"304,046",12.53,"362,100",14.92,"58,054",2.39,"648,193,321",17.19%
01/12/2022,39(-5.11 %),"2,241",0.09,"275,600",10.75,"273,359",10.66,"648,497,367",0%
30/11/2022,41.1(0.24 %),"745,905",30.66,"992,030",40.77,"246,125",10.12,"649,166,514",17.17%
29/11/2022,41(3.80 %),"834,554",34.22,"1,056,000",43.3,"221,446",9.08,"649,912,419",17.15%
28/11/2022,39.5(-1.25 %),"1,000,410",39.52,"1,107,400",43.74,"106,990",4.23,"650,746,973",17.14%
25/11/2022,40(5.26 %),"1,594,100",63.76,"1,635,400",65.42,"41,300",1.65,"651,747,383",17.12%
24/11/2022,38(1.60 %),"741,276",28.17,"779,400",29.62,"38,124",1.45,"653,275,783",17.09%
23/11/2022,37.4(2.47 %),"679,100",25.4,"776,100",29.03,"97,000",3.63,"653,945,483",17.07%
22/11/2022,36.45(2.68 %),"1,075,100",39.19,"1,174,800",42.82,"99,700",3.63,"654,674,683",17.06%
21/11/2022,35.5(-1.39 %),"300,600",10.67,"337,500",11.98,"36,900",1.31,"655,843,329",17.03%
18/11/2022,35.95(0.70 %),"309,046",11.11,"315,200",11.33,"6,154",0.22,"656,015,229",17.03%
17/11/2022,35.65(-0.14 %),"23,000",0.82,"183,000",6.52,"160,000",5.7,"656,319,192",17.03%
16/11/2022,35.7(6.89 %),"438,063",15.64,"439,300",15.68,"1,237",0.04,"656,461,792",17.02%
15/11/2022,33.4(-6.96 %),"105,900",3.54,"126,300",4.22,"20,400",0.68,"656,776,492",17.02%
14/11/2022,35.9(-0.28 %),"220,100",7.9,"344,700",12.37,"124,600",4.47,"656,712,092",17.02%
11/11/2022,36(3.75 %),"708,900",25.52,"899,600",32.39,"190,700",6.87,"657,026,092",17.01%
10/11/2022,34.7(-4.14 %),"574,600",19.94,"583,300",20.24,"8,700",0.3,"657,813,759",17%
09/11/2022,36.15(3.58 %),"2,060,444",74.49,"2,154,777",77.9,"94,333",3.41,"658,067,971",16.99%
