Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
15/07/2022,56.5(-2.42 %),"-5,600",-0.32,"15,000",0.85,"20,600",1.16,"165,955,112",26.64%
14/07/2022,57.9(-0.17 %),"21,900",1.27,"26,200",1.52,"4,300",0.25,"165,951,312",26.64%
13/07/2022,58(3.76 %),"25,800",1.5,"37,600",2.18,"11,800",0.68,"165,957,712",26.64%
12/07/2022,55.9(2.38 %),"50,800",2.84,"70,600",3.95,"19,800",1.11,"165,986,312",26.64%
11/07/2022,54.6(0.00 %),"166,000",9.06,"175,000",9.56,"9,000",0.49,"165,842,912",26.66%
08/07/2022,54.6(-0.73 %),"-16,200",9.06,"17,000",9.56,"33,200",0.49,"166,044,712",26.63%
07/07/2022,55(3.77 %),"146,000",8.03,"275,900",15.17,"129,900",7.14,"166,028,512",26.63%
06/07/2022,53(0.38 %),"310,300",16.45,"333,200",17.66,"22,900",1.21,"166,268,912",26.6%
05/07/2022,52.8(-1.68 %),"83,000",4.38,"118,500",6.26,"35,500",1.87,"166,585,012",26.56%
04/07/2022,53.7(1.13 %),"117,200",6.32,"134,300",7.24,"17,100",0.92,"166,819,812",26.53%
01/07/2022,53.1(1.14 %),"148,500",7.89,"149,100",7.92,600,0.03,"166,829,012",26.53%
30/06/2022,52.5(-4.55 %),"1,300",0.07,"4,500",0.24,"3,200",0.17,"166,945,712",26.51%
29/06/2022,55(-2.31 %),"-30,500",-1.69,"1,900",0.11,"32,400",1.79,"166,914,712",26.51%
28/06/2022,56.3(2.18 %),"269,400",15.17,"304,900",17.17,"35,500",2,"166,881,202",26.52%
27/06/2022,55.1(0.55 %),"-20,200",-1.11,"15,200",0.83,"35,400",1.94,"167,163,002",26.48%
24/06/2022,54.8(3.98 %),"-4,600",-0.25,"18,500",1.01,"23,100",1.27,"167,174,902",26.48%
23/06/2022,52.7(3.13 %),"15,300",0.81,"18,600",0.98,"3,300",0.17,"167,185,602",26.48%
22/06/2022,51.1(-0.78 %),"1,400",0.07,"5,200",0.27,"3,800",0.19,"167,184,652",26.48%
21/06/2022,51.5(2.18 %),"243,500",12.54,"263,000",13.54,"19,500",1,"167,148,552",26.48%
20/06/2022,50.4(-2.14 %),"-28,100",-1.45,"12,700",0.65,"40,800",2.1,"167,328,652",26.46%
