Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
06/12/2022,27(-5.59 %),"1,455,200",39.29,"2,303,600",62.2,"848,400",22.91,"115,359,140",27.6%
05/12/2022,28.6(2.14 %),"1,512,493",43.26,"2,305,030",65.92,"792,537",22.67,"116,814,340",27.57%
02/12/2022,27.95(6.68 %),"4,449,069",124.35,"4,507,500",125.98,"58,431",1.63,"118,326,833",27.54%
01/12/2022,26.15(-4.21 %),"-1,421,800",-37.18,"770,600",20.15,"2,192,400",57.33,"122,775,902",0%
30/11/2022,27.25(-0.55 %),"1,325,500",36.12,"1,808,800",49.29,"483,300",13.17,"123,823,007",27.42%
29/11/2022,27.4(0.37 %),"3,201,200",87.71,"3,906,500",107.04,"705,300",19.33,"125,148,507",27.4%
28/11/2022,27.3(5.81 %),"5,547,804",151.46,"6,012,900",164.15,"465,096",12.7,"128,349,707",27.33%
25/11/2022,25.8(4.88 %),"5,089,195",131.3,"5,361,900",138.34,"272,705",7.04,"133,897,511",27.21%
24/11/2022,24.6(0.82 %),"127,762",3.14,"717,252",17.64,"589,490",14.5,"138,334,911",27.12%
23/11/2022,24.4(2.09 %),"253,150",6.18,"1,079,150",26.33,"826,000",20.15,"137,173,251",27.15%
22/11/2022,23.9(-0.83 %),"-598,209",-14.3,"1,204,203",28.78,"1,802,412",43.08,"137,039,151",27.15%
21/11/2022,24.1(-2.43 %),"-129,350",-3.12,"1,040,400",25.07,"1,169,750",28.19,"132,726,906",27.24%
18/11/2022,24.7(-1.20 %),"-3,099,348",-76.55,"2,395,100",59.16,"5,494,448",135.71,"132,956,801",27.23%
17/11/2022,25(0.81 %),"5,070,195",126.75,"5,840,400",146.01,"770,205",19.26,"135,075,565",27.19%
16/11/2022,24.8(5.98 %),"3,866,012",95.88,"4,082,348",101.24,"216,336",5.37,"140,024,765",27.09%
15/11/2022,23.4(-2.09 %),"2,353,900",55.08,"4,625,100",108.23,"2,271,200",53.15,"143,942,231",27%
14/11/2022,23.9(1.27 %),"3,314,418",79.21,"3,422,100",81.79,"107,682",2.57,"146,691,231",26.95%
11/11/2022,23.6(3.51 %),"4,718,600",111.36,"5,041,900",118.99,"323,300",7.63,"147,842,731",26.92%
10/11/2022,22.75(-7.14 %),"-1,237,900",-28.16,"906,200",20.62,"2,144,100",48.78,"151,393,621",26.85%
09/11/2022,24.45(2.30 %),"913,590",22.34,"2,302,300",56.29,"1,388,710",33.95,"149,351,821",26.89%
