Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
22/11/2021,102.1(-3.68 %),"491,400",51.07,"511,800",53.21,"20,400",2.13,"885,703,722",2.75%
19/11/2021,106(-6.85 %),"545,800",59.2,"1,005,800",109.63,"460,000",50.43,"886,195,122",0%
18/11/2021,113.8(-3.07 %),"13,600",1.62,"189,700",21.94,"176,100",20.32,"886,740,922",2.7%
17/11/2021,117.4(0.60 %),"140,600",16.58,"150,700",17.77,"10,100",1.19,"886,754,522",2.7%
16/11/2021,116.7(-1.85 %),"294,200",35.21,"586,000",69.83,"291,800",34.62,"886,895,122",2.69%
15/11/2021,118.9(0.68 %),"374,000",44.44,"696,900",81.84,"322,900",37.4,"887,189,322",2.67%
12/11/2021,118.1(-0.76 %),"304,800",36.61,"403,800",48.22,"99,000",11.61,"887,563,322",2.65%
11/11/2021,119(-1.16 %),"-35,200",-4.22,"24,000",2.86,"59,200",7.07,"887,868,122",2.64%
10/11/2021,120.4(1.01 %),0,0,0,0,0,0,"887,832,922",2.64%
09/11/2021,119.2(-3.09 %),"-90,400",-9.79,"440,400",54.05,"530,800",63.84,"887,832,922",2.64%
08/11/2021,123(0.49 %),"338,500",41.25,"615,600",74.79,"277,100",33.54,"887,742,522",2.64%
05/11/2021,122.4(4.53 %),"334,400",40.43,"341,900",41.33,"7,500",0.9,"887,746,622",0%
04/11/2021,117.1(-2.42 %),"37,300",7.1,"258,300",30.65,"221,000",23.55,"888,043,722",0%
03/11/2021,120(-1.32 %),0,0,0,0,0,0,"888,081,022",2.63%
02/11/2021,121.6(0.25 %),"-138,800",-16.83,"20,800",2.52,"159,600",19.35,"888,081,022",2.63%
01/11/2021,121.3(-2.57 %),"64,400",8.71,"354,800",44.23,"290,400",35.52,"887,942,222",2.63%
29/10/2021,124.5(-0.40 %),"250,200",31.52,"269,200",33.88,"19,000",2.36,"886,709,532",2.7%
28/10/2021,125(2.71 %),"862,600",108.23,"993,700",124.27,"131,100",16.04,"886,959,732",2.68%
27/10/2021,121.7(6.94 %),"880,100",104.68,"1,288,500",154.18,"408,400",49.5,"887,822,332",0%
26/10/2021,113.8(1.61 %),"-38,400",-4.48,"140,100",15.89,"178,500",20.37,"888,702,432",0%
