Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/02/2023,14.75(-0.34 %),"78,300",1.15,"106,800",1.58,"28,500",0.42,"497,239,642",0.57%
07/02/2023,14.8(-5.13 %),"27,900",0.41,"137,600",2.04,"109,700",1.62,"497,302,242",0.57%
06/02/2023,15.6(1.30 %),"-21,900",-0.34,"22,300",0.35,"44,200",0.69,"497,426,642",0.56%
03/02/2023,15.4(0.65 %),"17,300",0.27,"30,500",0.47,"13,200",0.2,"497,377,442",0.57%
02/02/2023,15.25(-2.24 %),"-2,900",-0.04,"68,600",1.05,"71,500",1.09,"497,357,742",0.57%
01/02/2023,15.55(-6.89 %),"-10,800",-0.17,"39,400",0.61,"50,200",0.78,"497,411,542",0.56%
31/01/2023,16.7(1.21 %),"1,100",0.02,"15,900",0.27,"14,800",0.25,"497,433,442",0.56%
30/01/2023,16.5(-2.37 %),"477,000",7.87,"494,500",8.16,"17,500",0.29,"497,428,942",0.56%
27/01/2023,16.85(3.37 %),"146,100",2.46,"159,000",2.68,"12,900",0.22,"497,800,842",0.55%
19/01/2023,16.3(1.88 %),"427,500",6.97,"550,100",8.97,"122,600",2,"497,946,832",0.55%
18/01/2023,16(1.27 %),"290,790",4.65,"303,800",4.86,"13,010",0.21,"498,366,232",0.54%
17/01/2023,15.75(3.62 %),"471,200",7.42,"595,900",9.39,"124,700",1.96,"498,537,632",0.54%
16/01/2023,15.2(4.11 %),"255,500",3.88,"369,900",5.62,"114,400",1.74,"499,065,732",0.52%
13/01/2023,14.55(-1.69 %),"-49,600",-0.72,"9,200",0.13,"58,800",0.86,"499,318,832",0.52%
12/01/2023,14.8(2.07 %),"197,800",2.93,"302,600",4.48,"104,800",1.55,"499,062,332",0.52%
11/01/2023,14.5(0.69 %),"175,700",2.55,"435,400",6.31,"259,700",3.77,"499,305,232",0.52%
10/01/2023,14.4(0.00 %),"76,600",1.1,"136,300",1.96,"59,700",0.86,"499,614,592",0.51%
09/01/2023,14.4(0.00 %),"-40,340",-0.58,"79,700",1.15,"120,040",1.73,"498,888,892",0.53%
06/01/2023,14.4(-3.36 %),"-637,400",-9.18,"218,600",3.15,"856,000",12.33,"498,078,392",0.55%
05/01/2023,14.9(0.00 %),"-683,900",-10.19,"206,300",3.07,"890,200",13.26,"498,100,692",0.55%
