Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
20/04/2022,25.75(-0.58 %),"89,500",2.33,"620,000",16.09,"530,500",13.75,"115,433,899",0%
19/04/2022,25.9(-0.38 %),"380,000",9.93,"524,100",13.71,"144,100",3.78,"114,851,611",15.83%
18/04/2022,26(-1.14 %),"309,500",8.13,"477,500",12.52,"168,000",4.39,"115,133,111",15.82%
15/04/2022,26.3(-3.66 %),"-105,100",-2.74,"92,500",2.49,"197,600",5.23,"115,362,111",15.81%
14/04/2022,27.3(-2.50 %),"-79,600",-2.18,"181,400",5.02,"261,000",7.2,"115,418,299",15.81%
13/04/2022,28(0.72 %),"133,500",3.7,"177,000",4.91,"43,500",1.21,"115,549,224",15.8%
12/04/2022,27.8(-1.59 %),"17,300",0.5,"199,100",5.59,"181,800",5.09,"115,526,774",0%
08/04/2022,28.25(-2.25 %),"-20,500",-0.58,"65,300",1.87,"85,800",2.45,"115,544,074",15.8%
07/04/2022,28.9(-0.34 %),"-126,000",-3.67,"103,200",3.01,"229,200",6.68,"115,670,749",0%
06/04/2022,29(0.69 %),"124,800",3.59,"134,600",3.87,"9,800",0.28,"115,544,749",15.8%
05/04/2022,28.75(-1.20 %),"453,200",13.07,"673,700",19.45,"220,500",6.37,"115,538,949",15.8%
04/04/2022,29.1(-1.36 %),"-98,100",-2.9,"367,300",10.7,"465,400",13.6,"116,181,526",15.77%
01/04/2022,29.45(3.70 %),"170,400",4.91,"201,400",5.8,"31,000",0.89,"116,425,126",15.76%
31/03/2022,28.35(0.18 %),"643,600",18.26,"792,300",22.48,"148,700",4.22,"116,496,126",15.75%
30/03/2022,28.3(2.54 %),"2,235,600",62.97,"2,358,000",66.41,"122,400",3.44,"117,279,426",15.71%
29/03/2022,27.55(0.55 %),"51,500",1.42,"60,500",1.67,"9,000",0.25,"119,490,226",15.61%
28/03/2022,27.4(-2.14 %),"706,900",19.6,"854,100",23.66,"147,200",4.06,"119,444,526",15.61%
25/03/2022,27.95(-0.53 %),"790,700",22.22,"896,900",25.2,"106,200",2.98,"120,283,926",15.57%
24/03/2022,28.1(0.36 %),"480,100",13.46,"494,800",13.87,"14,700",0.41,"121,096,126",15.53%
23/03/2022,28(-1.06 %),"288,800",8.18,"411,000",11.63,"122,200",3.45,"121,458,526",15.51%
