Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
17/06/2022,23.2(-1.28 %),"4,730,700",109.75,"8,008,300",185.79,"3,277,600",76.04,"1,244,481,456",21.18%
16/06/2022,31(5.44 %),"8,216,700",254.72,"8,798,500",272.75,"581,800",18.04,"1,249,289,256",21.07%
15/06/2022,29.4(-2.97 %),"1,059,700",31.16,"4,711,200",138.51,"3,651,500",107.35,"1,255,634,756",20.93%
14/06/2022,30.3(-4.72 %),"1,628,100",49.33,"4,016,600",121.7,"2,388,500",72.37,"1,258,402,349",20.87%
13/06/2022,31.8(-5.36 %),"161,200",5.13,"1,568,100",49.87,"1,406,900",44.74,"1,261,499,299",20.8%
10/06/2022,33.6(-0.59 %),"296,700",9.97,"1,216,300",40.87,"919,600",30.9,"1,261,475,714",20.8%
09/06/2022,33.8(2.74 %),"-623,500",-21.07,"1,275,600",43.12,"1,899,100",64.19,"1,256,584,006",20.91%
08/06/2022,32.9(-0.90 %),"-5,516,000",-181.48,"592,000",19.48,"6,108,000",200.95,"1,257,108,306",20.9%
07/06/2022,33.2(-0.30 %),"957,700",31.8,"1,509,000",50.1,"551,300",18.3,"1,253,505,054",20.98%
06/06/2022,33.3(-0.30 %),"-3,003,500",-101.06,"1,191,700",40.06,"4,195,200",141.12,"1,252,323,537",21%
03/06/2022,33.4(0.60 %),"-1,126,200",-37.62,"1,564,300",52.25,"2,690,500",89.86,"1,247,839,037",21.1%
02/06/2022,33.15(-3.63 %),"-4,788,000",-158.72,"888,200",29.44,"5,676,200",188.17,"1,247,210,337",21.12%
01/06/2022,34.35(-1.01 %),"1,832,200",62.94,"4,025,200",138.27,"2,193,000",75.33,"1,246,061,937",21.14%
31/05/2022,34.7(-2.25 %),"154,000",5.34,"2,190,600",76.01,"2,036,600",70.67,"1,249,919,337",21.06%
30/05/2022,35.45(-0.14 %),"812,100",28.79,"979,900",34.74,"167,800",5.95,"1,250,368,137",21.05%
27/05/2022,35.45(1.29 %),"1,022,500",36.25,"2,669,700",94.64,"1,647,200",58.39,"1,247,999,537",21.1%
26/05/2022,35(1.45 %),"-2,946,400",-103.12,"359,100",12.57,"3,305,500",115.69,"1,246,634,496",21.13%
25/05/2022,34.45(-1.29 %),"-2,167,641",-74.68,"1,867,100",64.32,"4,034,741",139,"1,240,697,145",21.26%
24/05/2022,34.9(-5.16 %),"-4,154,600",-145,"2,141,800",74.75,"6,296,400",219.74,"1,240,834,895",21.26%
23/05/2022,36.75(-2.52 %),"-1,276,400",-46.91,"367,000",13.49,"1,643,400",60.39,"1,238,225,895",21.32%
