Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
20/12/2023,15.4(0.65 %),"-263,500",-4.08,"15,400",0.24,"278,900",4.32,"53,730,970",4.29%
19/12/2023,15.3(-0.97 %),"-457,800",-7.02,300,0,"458,100",7.03,"53,467,470",4.3%
18/12/2023,15.45(-1.59 %),"-566,300",-8.86,"6,900",0.11,"573,200",8.97,"53,009,670",4.33%
15/12/2023,15.7(0.32 %),"-264,000",-4.15,200,0,"264,200",4.16,"52,443,370",4.36%
14/12/2023,15.65(-0.95 %),"-418,000",-6.6,"12,100",0.19,"430,100",6.8,"52,179,370",4.38%
13/12/2023,15.8(-1.56 %),"-298,500",-4.76,400,0.01,"298,900",4.76,"51,761,370",4.4%
12/12/2023,16.05(-0.93 %),"-713,500",-11.57,"34,700",0.56,"748,200",12.12,"51,462,870",4.42%
11/12/2023,16.2(-0.92 %),"-631,000",-10.37,"48,300",0.79,"679,300",11.15,"50,749,370",4.46%
08/12/2023,16.35(2.19 %),"-1,239,700",-20.26,"14,000",0.23,"1,253,700",20.49,"50,118,370",4.5%
07/12/2023,16(1.59 %),"-1,264,200",-20.18,"66,600",1.06,"1,330,800",21.25,"48,878,670",4.57%
06/12/2023,15.75(2.61 %),"-295,500",-4.63,"54,000",0.85,"349,500",5.49,"47,614,470",4.64%
05/12/2023,15.35(0.33 %),"-275,900",-4.24,"55,800",0.86,"331,700",5.1,"47,318,970",4.66%
04/12/2023,15.3(0.00 %),"-304,100",-4.66,"35,500",0.54,"339,600",5.21,"47,043,070",4.68%
01/12/2023,15.3(0.00 %),"-149,400",-2.29,"3,000",0.05,"152,400",2.33,"46,738,970",4.69%
30/11/2023,15.3(0.66 %),"-495,800",-7.67,"5,100",0.08,"500,900",7.75,"47,676,219",4.64%
29/11/2023,15.2(1.33 %),"-440,600",-6.75,"5,400",0.08,"446,000",6.84,"47,180,419",4.67%
28/11/2023,15(1.35 %),"-201,700",-2.98,"6,500",0.1,"208,200",3.07,"46,739,819",4.69%
27/11/2023,14.8(-2.31 %),"-128,600",-1.95,"13,600",0.2,"142,200",2.15,"46,538,119",4.7%
24/11/2023,15.15(1.00 %),"-5,100",-0.08,200,0,"5,300",0.08,"46,409,519",4.71%
23/11/2023,15(-2.91 %),"396,100",6.15,"500,000",7.75,"103,900",1.6,"46,404,419",4.71%
