Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
18/10/2024,25.75(-0.58 %),500,0.01,"1,500",0.04,"1,000",0.03,0,23.24%
17/10/2024,25.9(1.57 %),"-1,200",-0.03,"7,500",0.19,"8,700",0.22,"1,545",23.24%
16/10/2024,25.5(-0.58 %),"4,200",0.11,"4,200",0.11,0,0,"7,526",23.23%
15/10/2024,25.65(-0.77 %),"1,500",0.04,"3,000",0.08,"1,500",0.04,"4,200",23.24%
14/10/2024,25.85(1.17 %),"-7,400",-0.19,0,0,"7,400",0.19,"3,000",23.24%
11/10/2024,25.55(0.20 %),"-4,200",-0.11,0,0,"4,200",0.11,0,23.24%
10/10/2024,25.5(-0.39 %),"-2,900",-0.07,100,0,"3,000",0.08,0,23.24%
09/10/2024,25.6(1.59 %),-400,-0.01,"2,600",0.07,"3,000",0.08,100,23.24%
08/10/2024,25.2(0.00 %),"4,000",0.1,"4,000",0.1,0,0,"2,600",23.24%
07/10/2024,25.2(0.40 %),"11,300",0.29,"11,400",0.29,100,0,"4,000",23.24%
04/10/2024,25.1(-1.57 %),"1,900",0.05,"4,500",0.11,"2,600",0.07,"11,490",23.23%
03/10/2024,25.5(-0.78 %),"-4,000",-0.1,0,0,"4,000",0.1,"4,500",23.24%
02/10/2024,25.7(0.19 %),"-11,400",-0.29,0,0,"11,400",0.29,0,23.24%
01/10/2024,25.65(-0.19 %),"-2,100",-0.06,"2,400",0.06,"4,500",0.12,0,23.24%
30/09/2024,25.7(0.00 %),0,0,0,0,0,0,"2,490",23.24%
27/09/2024,25.7(0.00 %),"3,200",0.08,"3,200",0.08,0,0,"41,900",23.23%
26/09/2024,25.7(-0.19 %),"-2,400",-0.06,0,0,"2,400",0.06,"3,214",23.24%
25/09/2024,25.75(1.98 %),"-41,600",-1.07,300,0.01,"41,900",1.07,0,23.24%
24/09/2024,25.25(1.81 %),"-3,000",-0.07,0,0,"3,000",0.07,300,23.24%
23/09/2024,24.8(0.20 %),"-1,000",-0.03,0,0,"1,000",0.03,"60,024",23.23%
