Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
13/09/2022,114(-0.87 %),"-56,212",7.78,"239,926",10.6,"296,138",2.82,"285,334,899",28.96%
12/09/2022,115(-0.95 %),"36,716",11.69,"121,500",26.23,"84,784",14.54,"285,449,625",28.95%
09/09/2022,116.1(0.96 %),"100,700",11.69,"225,900",26.23,"125,200",14.54,"285,520,925",28.95%
08/09/2022,115(2.68 %),"119,100",13.7,"369,300",42.47,"250,200",28.77,"285,414,325",28.95%
07/09/2022,112(-2.61 %),"106,000",11.87,"435,500",48.78,"329,500",36.9,"285,548,425",28.94%
06/09/2022,115(-0.43 %),"125,600",14.44,"160,800",18.49,"35,200",4.05,"285,907,985",28.92%
05/09/2022,115.5(0.87 %),"11,200",1.29,"887,100",102.46,"875,900",101.17,"285,936,385",28.92%
31/08/2022,114.5(0.70 %),"128,500",14.71,"271,900",31.13,"143,400",16.42,"285,905,385",28.92%
30/08/2022,113.7(1.34 %),"52,900",6.01,"171,000",19.44,"118,100",13.43,"286,123,985",28.9%
29/08/2022,112.2(0.00 %),"189,900",21.31,"243,200",27.29,"53,300",5.98,"286,282,485",28.89%
26/08/2022,112.2(-0.53 %),"90,600",10.17,"103,100",11.57,"12,500",1.4,"286,514,685",28.88%
25/08/2022,112.8(0.80 %),"548,600",61.88,"559,600",63.12,"11,000",1.24,"286,573,685",28.87%
24/08/2022,111.9(-0.62 %),"97,200",10.88,"536,300",60.01,"439,100",49.14,"286,998,185",28.84%
23/08/2022,112.6(0.72 %),"245,300",27.62,"380,400",42.83,"135,100",15.21,"287,074,485",28.84%
22/08/2022,111.8(-0.18 %),"202,400",22.63,"637,400",71.26,"435,000",48.63,"287,426,385",28.81%
19/08/2022,112(0.00 %),"193,800",21.71,"266,300",29.83,"72,500",8.12,"287,474,525",28.81%
18/08/2022,112(0.63 %),"251,300",28.15,"465,500",52.14,"214,200",23.99,"287,561,725",28.8%
17/08/2022,111.3(2.11 %),"303,900",33.82,"483,000",53.76,"179,100",19.93,"287,885,325",28.78%
16/08/2022,109(0.46 %),"104,100",11.35,"218,000",23.76,"113,900",12.42,"288,304,925",28.75%
15/08/2022,108.5(1.21 %),"126,900",13.77,"707,300",76.74,"580,400",62.97,"288,498,825",28.74%
