Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/03/2021,130.8(-1.06 %),0,0,"35,700",5.05,"35,700",5.05,0,66.1%
05/03/2021,132.2(-0.45 %),0,0,0,0,0,0,0,66.1%
04/03/2021,132.8(-2.50 %),0,0,0,0,0,0,0,66.1%
03/03/2021,136.2(0.29 %),0,0,0,0,0,0,0,66.1%
02/03/2021,135.8(0.74 %),0,0,0,0,0,0,0,66.1%
01/03/2021,134.8(-0.15 %),-300,-0.04,0,0,300,0.04,0,66.1%
26/02/2021,135(-0.52 %),0,0,0,0,0,0,0,49%
25/02/2021,135.7(1.42 %),0,0,0,0,0,0,0,66.1%
24/02/2021,133.8(-1.76 %),0,0,0,0,0,0,0,66.1%
23/02/2021,136.2(-0.58 %),0,0,0,0,0,0,0,49%
22/02/2021,137(-0.44 %),0,0,0,0,0,0,0,66.1%
19/02/2021,137.6(-1.36 %),0,0,0,0,0,0,0,49%
18/02/2021,139.5(1.09 %),0,0,0,0,0,0,0,66.1%
17/02/2021,138(6.56 %),0,0,0,0,0,0,0,49%
09/02/2021,129.5(0.78 %),0,0,0,0,0,0,0,49%
08/02/2021,128.5(-1.53 %),0,0,0,0,0,0,98,66.1%
05/02/2021,130.5(1.56 %),0,0,0,0,0,0,98,66.1%
04/02/2021,128.5(0.78 %),"1,670",2.13,"1,670",2.13,0,0,98,49%
03/02/2021,127.5(-0.39 %),30,0.04,30,0.04,0,0,98,49%
02/02/2021,128(3.48 %),0,0,0,0,0,0,98,66.1%
