Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
20/12/2023,34.4(1.33 %),"-25,700",-0.87,"32,000",1.1,"57,700",1.97,"38,247,968",16.39%
19/12/2023,33.95(0.15 %),"-6,100",-0.21,"19,000",0.64,"25,100",0.85,"38,222,268",16.39%
18/12/2023,33.9(-1.17 %),"-79,400",-2.71,"30,400",1.04,"109,800",3.74,"38,216,168",16.39%
15/12/2023,34.3(-0.15 %),"-96,500",-3.32,"11,000",0.38,"107,500",3.7,"38,136,768",16.4%
14/12/2023,34.35(-1.01 %),"20,600",0.72,"32,700",1.14,"12,100",0.42,"38,040,268",16.4%
13/12/2023,34.7(-2.12 %),"-142,000",-4.98,"8,800",0.31,"150,800",5.28,"38,060,868",16.4%
12/12/2023,35.45(-0.56 %),"-21,500",-0.76,"20,200",0.71,"41,700",1.48,"37,918,868",16.41%
11/12/2023,35.65(0.00 %),"-8,300",-0.3,"6,800",0.24,"15,100",0.54,"37,897,368",16.41%
08/12/2023,35.65(1.42 %),"21,400",0.76,"34,200",1.21,"12,800",0.45,"37,889,068",16.42%
07/12/2023,35.15(-2.09 %),"-38,100",-1.35,"20,100",0.71,"58,200",2.06,"37,910,468",16.41%
06/12/2023,35.9(0.98 %),"231,700",8.3,"237,900",8.52,"6,200",0.22,"37,872,368",16.42%
05/12/2023,35.55(0.14 %),"-8,400",-0.3,"17,300",0.61,"25,700",0.92,"38,104,068",16.4%
04/12/2023,35.5(0.85 %),"18,900",0.67,"30,600",1.09,"11,700",0.42,"38,095,668",16.4%
01/12/2023,35.2(0.28 %),"-33,800",-1.19,"10,900",0.39,"44,700",1.58,"38,114,568",16.4%
30/11/2023,35.1(-1.96 %),"-64,400",-2.27,"8,300",0.29,"72,700",2.57,"38,166,491",16.39%
29/11/2023,35.8(6.23 %),"1,232,400",42.94,"1,243,200",43.31,"10,800",0.37,"38,102,091",16.4%
28/11/2023,33.7(0.30 %),"237,400",7.92,"258,600",8.63,"21,200",0.71,"39,334,491",16.31%
27/11/2023,33.6(0.60 %),"198,200",6.7,"212,600",7.19,"14,400",0.49,"39,571,891",16.29%
24/11/2023,33.4(-0.89 %),"3,600",0.12,"15,100",0.5,"11,500",0.38,"39,770,091",16.28%
23/11/2023,33.7(-1.03 %),"187,200",6.36,"213,700",7.26,"26,500",0.9,"39,773,691",16.28%
