Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
21/03/2024,57.2(0.53 %),"-163,900",-9.41,"68,600",3.94,"232,500",13.35,"503,247,078",121.52%
20/03/2024,56.9(0.00 %),"-190,200",-10.81,"18,900",1.07,"209,100",11.88,"503,083,178",121.55%
19/03/2024,56.9(0.35 %),"-304,900",-17.37,"15,200",0.86,"320,100",18.23,"503,137,568",60.77%
18/03/2024,56.7(-2.24 %),"-478,900",-27.29,"81,300",4.65,"560,200",31.93,"502,108,864",60.85%
15/03/2024,58(-1.19 %),"-830,500",-48.24,"217,400",12.61,"1,047,900",60.85,"502,109,178",121.7%
14/03/2024,58.7(-1.51 %),"-403,200",-23.86,"98,100",5.8,"501,300",29.67,"501,278,678",121.83%
13/03/2024,59.6(0.85 %),"-573,900",-33.93,"159,200",9.43,"733,100",43.36,"500,875,478",60.95%
12/03/2024,59.1(-0.34 %),"-384,300",-22.89,"11,500",0.68,"395,800",23.57,"499,989,100",61.02%
11/03/2024,59.3(-1.17 %),"-684,200",-41,"361,400",21.67,"1,045,600",62.67,"500,243,373",121.99%
08/03/2024,60(-0.99 %),"-668,600",-40.19,"35,400",2.13,"704,000",42.32,"499,559,173",122.1%
07/03/2024,60.6(-1.14 %),"-1,167,698",-71.09,"117,100",7.15,"1,284,798",78.24,"498,890,573",122.2%
06/03/2024,61.1(3.74 %),"466,400",28.39,"1,227,300",75.03,"760,900",46.63,"497,722,875",122.39%
05/03/2024,58.9(1.03 %),"-338,400",-19.7,"53,600",3.13,"392,000",22.83,"498,192,600",61.16%
04/03/2024,58.3(-0.51 %),"-270,810",-15.9,"37,100",2.18,"307,910",18.08,"497,850,875",122.37%
01/03/2024,58.6(0.17 %),"-79,800",-4.67,"50,800",2.98,"130,600",7.65,"497,580,065",122.41%
29/02/2024,58.5(1.39 %),"233,483",13.66,"638,223",37.42,"404,740",23.76,"497,630,880",61.2%
28/02/2024,57.7(2.49 %),"-22,500",-1.3,"149,600",8.55,"172,100",9.85,"497,377,808",122.44%
27/02/2024,56.3(-0.53 %),"-855,980",-47.99,"298,700",16.74,"1,154,680",64.73,"497,355,308",122.44%
26/02/2024,56.6(-0.70 %),"-261,000",-14.81,"106,620",6.07,"367,620",20.89,"496,613,900",61.28%
23/02/2024,57(-1.72 %),"-422,680",-24.32,"171,520",9.86,"594,200",34.18,"496,238,328",122.62%
