Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/02/2023,10.15(-0.49 %),"-1,401,569",-14.23,"204,700",2.08,"1,606,269",16.3,"728,202,975",6.26%
07/02/2023,10.15(-3.33 %),"-2,621,889",-26.61,"6,300",0.06,"2,628,189",26.68,"728,247,855",6.26%
06/02/2023,10.45(-0.48 %),"122,440",1.28,"282,260",2.95,"159,820",1.67,"727,982,855",6.27%
03/02/2023,10.45(-0.48 %),"44,800",0.47,"316,100",3.3,"271,300",2.84,"728,144,719",6.26%
02/02/2023,10.45(-1.42 %),"1,113,604",11.64,"1,234,000",12.9,"120,396",1.26,"728,460,816",6.25%
01/02/2023,10.6(-3.64 %),"391,997",4.16,"392,000",4.16,3,0,"729,667,551",6.21%
31/01/2023,11(0.92 %),"394,185",4.34,"421,450",4.64,"27,265",0.3,"729,850,801",6.21%
30/01/2023,10.9(-2.68 %),"-85,150",-0.93,"123,600",1.35,"208,750",2.28,"730,001,021",6.2%
27/01/2023,11.2(0.00 %),"1,056,470",11.83,"1,318,200",14.76,"261,730",2.93,"729,906,736",6.2%
19/01/2023,11.15(0.45 %),"1,031,215",11.5,"1,249,100",13.93,"217,885",2.43,"730,947,736",6.17%
18/01/2023,11.1(0.00 %),"571,100",6.34,"848,300",9.42,"277,200",3.08,"732,091,631",6.13%
17/01/2023,11.1(3.74 %),"253,795",2.82,"359,000",3.98,"105,205",1.17,"732,455,316",6.12%
16/01/2023,10.7(0.00 %),"-483,005",-5.17,"1,610",0.02,"484,615",5.19,"732,501,316",6.12%
13/01/2023,10.7(1.90 %),"-121,500",-1.3,"191,500",2.05,"313,000",3.35,"732,122,812",6.13%
12/01/2023,10.5(-0.94 %),"-105,589",-1.11,"274,525",2.88,"380,114",3.99,"732,221,650",6.13%
11/01/2023,10.55(0.48 %),"383,138",4.04,"475,800",5.02,"92,662",0.98,"732,269,968",6.13%
10/01/2023,10.5(0.00 %),"619,793",6.51,"846,000",8.88,"226,207",2.38,"732,024,568",6.14%
09/01/2023,10.5(-0.94 %),"-476,630",-5,"244,570",2.57,"721,200",7.57,"732,664,868",6.11%
06/01/2023,10.55(1.44 %),"10,100",0.11,"215,800",2.28,"205,700",2.17,"732,771,138",6.11%
05/01/2023,10.35(0.49 %),"536,900",5.56,"605,200",6.26,"68,300",0.71,"732,415,938",6.12%
