Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/11/2022,30.1(0.33 %),"15,300",0.46,"15,300",0.46,0,0,"95,594,486",0.17%
07/11/2022,30(-0.99 %),"1,700",0.05,"1,800",0.05,100,0,"95,609,786",0.17%
04/11/2022,30.3(-0.66 %),0,0.05,0,0.1,0,0.05,"95,610,076",0.17%
03/11/2022,30.45(-1.77 %),"1,690",0.05,"3,200",0.1,"1,510",0.05,"95,597,276",0.17%
02/11/2022,30.95(-0.16 %),"12,900",0.4,"25,700",0.8,"12,800",0.4,"95,598,476",0.17%
01/11/2022,31(0.00 %),-600,-0.02,"1,400",0.04,"2,000",0.06,"95,622,676",0.17%
31/10/2022,30.95(-0.16 %),"32,600",1.01,"34,100",1.06,"1,500",0.05,"95,535,864",0.18%
28/10/2022,30.95(-0.16 %),"-22,512",-0.7,"19,200",0.59,"41,712",1.29,"95,569,964",0.18%
27/10/2022,31(6.90 %),"3,800",0.11,"3,800",0.11,0,0,"95,589,164",0.17%
26/10/2022,29(0.00 %),"1,500",0.04,"1,500",0.04,0,0,"95,551,264",0.18%
25/10/2022,29(1.75 %),"40,700",1.15,"40,700",1.15,0,0,"95,552,264",0.18%
24/10/2022,28.5(-1.04 %),"-4,500",-0.13,0,0,"4,500",0.13,"95,592,964",0.17%
21/10/2022,28.8(-2.37 %),0,0,0,0,0,0,"95,584,964",0.17%
20/10/2022,29.5(0.00 %),"-5,000",-0.15,0,0,"5,000",0.15,"95,541,764",0.18%
19/10/2022,29.5(0.00 %),"3,200",0.09,"6,700",0.2,"3,500",0.1,"95,476,164",0.18%
18/10/2022,29.5(0.00 %),"-46,700",-1.38,"1,500",0.04,"48,200",1.42,"95,479,364",0.18%
17/10/2022,29.5(-0.67 %),"-48,600",-1.43,0,0,"48,600",1.43,"95,426,464",0.18%
14/10/2022,29.65(0.17 %),"-52,900",-1.57,"1,500",0.04,"54,400",1.61,"95,374,764",0.19%
13/10/2022,29.6(-0.34 %),"-49,900",-1.48,"1,800",0.05,"51,700",1.53,"95,373,564",0.19%
12/10/2022,29.65(6.27 %),"-2,700",-0.08,0,0,"2,700",0.08,"95,346,264",0.19%
