Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/03/2023,19.8(2.06 %),"1,660,900",32.89,"1,981,700",39.24,"320,800",6.35,"852,391,684",42.84%
07/03/2023,19.4(3.19 %),"1,148,481",22.28,"1,744,250",33.84,"595,769",11.56,"853,020,384",42.79%
06/03/2023,18.75(1.35 %),"-3,090",-0.06,"1,300,710",24.39,"1,303,800",24.45,"853,192,434",42.78%
03/03/2023,18.45(-1.34 %),"-1,385,985",-25.57,"443,515",8.18,"1,829,500",33.75,"852,968,344",42.8%
02/03/2023,18.65(-1.84 %),"-485,390",-9.05,"1,203,910",22.45,"1,689,300",31.51,"848,900,974",43.07%
01/03/2023,18.95(3.55 %),"-3,172,319",-60.12,"1,573,566",29.82,"4,745,885",89.93,"846,519,584",43.23%
28/02/2023,18.25(-0.27 %),"315,340",5.75,"4,202,540",76.7,"3,887,200",70.94,"843,492,365",43.43%
27/02/2023,18.25(-3.95 %),"-4,048,883",-73.89,"94,602",1.73,"4,143,485",75.62,"846,564,189",43.23%
24/02/2023,19(-3.55 %),"-323,516",-6.15,"898,100",17.06,"1,221,616",23.21,"841,924,584",0%
23/02/2023,19.7(2.07 %),"-1,639,978",-32.31,"1,424,102",28.05,"3,064,080",60.36,"841,601,068",43.56%
22/02/2023,19.3(-5.85 %),"-1,783,243",-34.42,"1,085,600",20.95,"2,868,843",55.37,"842,350,370",43.51%
21/02/2023,20.45(-1.68 %),"814,800",16.66,"1,843,200",37.69,"1,028,400",21.03,"842,546,470",43.5%
20/02/2023,20.75(6.41 %),"1,408,410",29.22,"2,061,010",42.77,"652,600",13.54,"843,661,570",43.42%
17/02/2023,19.45(-0.26 %),"818,400",15.92,"1,983,600",38.58,"1,165,200",22.66,"844,688,680",43.35%
16/02/2023,19.5(2.09 %),"-758,000",-14.78,"275,900",5.38,"1,033,900",20.16,"843,814,706",43.41%
15/02/2023,19.1(1.06 %),"-1,553,564",-29.67,"513,310",9.8,"2,066,874",39.48,"843,879,837",43.41%
14/02/2023,18.9(2.16 %),"563,231",10.65,"774,000",14.63,"210,769",3.98,"842,817,177",43.48%
13/02/2023,18.5(-2.63 %),"-1,017,460",-18.82,"459,510",8.5,"1,476,970",27.32,"841,857,877",43.54%
10/02/2023,19(-2.06 %),"-465,400",-8.84,"1,267,900",24.09,"1,733,300",32.93,"840,598,387",43.63%
09/02/2023,19.35(-0.77 %),"907,410",17.56,"2,626,410",50.82,"1,719,000",33.26,"841,056,720",43.6%
