Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
08/02/2023,25(-3.10 %),"7,977,373",199.43,"9,640,700",241.02,"1,663,327",41.58,"12,767,648",29.32%
07/02/2023,25.75(0.19 %),"6,767,094",174.25,"7,043,100",181.36,"276,006",7.11,"22,037,248",28.83%
06/02/2023,25.7(-1.53 %),"4,871,500",125.2,"5,242,600",134.73,"371,100",9.54,"28,378,248",28.49%
03/02/2023,26.05(-0.57 %),"6,430,800",167.52,"7,132,900",185.81,"702,100",18.29,"31,673,048",28.32%
02/02/2023,26.15(1.75 %),"3,861,200",100.97,"5,809,000",151.91,"1,947,800",50.93,"37,234,148",28.02%
01/02/2023,25.65(-5.35 %),"1,491,700",38.26,"3,063,500",78.58,"1,571,800",40.32,"41,513,148",27.8%
31/01/2023,27.1(4.63 %),"527,400",14.29,"2,057,400",55.76,"1,530,000",41.46,"44,159,848",27.66%
30/01/2023,25.85(-3.18 %),"540,400",13.97,"957,200",24.74,"416,800",10.77,"44,400,748",27.64%
27/01/2023,26.65(-0.56 %),"-1,051,400",-28.02,"690,100",18.39,"1,741,500",46.41,"44,302,840",27.65%
19/01/2023,26.8(0.00 %),"1,065,642",28.56,"2,120,750",56.84,"1,055,108",28.28,"43,701,240",27.68%
18/01/2023,26.8(0.75 %),"397,600",10.66,"1,943,600",52.09,"1,546,000",41.43,"45,350,780",27.59%
17/01/2023,26.55(4.12 %),"2,383,690",63.29,"2,788,900",74.05,"405,210",10.76,"45,803,480",27.57%
16/01/2023,25.5(0.79 %),"543,100",13.85,"1,581,700",40.33,"1,038,600",26.48,"47,912,980",27.46%
13/01/2023,25.3(1.20 %),"877,200",22.19,"1,457,600",36.88,"580,400",14.68,"49,250,280",27.39%
12/01/2023,24.95(1.01 %),"60,310",1.5,"172,710",4.31,"112,400",2.8,"49,608,860",27.37%
11/01/2023,24.7(-1.20 %),"-250,620",-6.19,"782,400",19.33,"1,033,020",25.52,"49,417,470",27.38%
10/01/2023,24.95(1.01 %),"925,600",23.09,"1,289,700",32.18,"364,100",9.08,"48,544,770",27.42%
09/01/2023,24.65(1.44 %),"789,900",19.47,"2,379,000",58.64,"1,589,100",39.17,"48,393,070",27.43%
06/01/2023,24.3(0.41 %),"610,113",14.83,"1,985,513",48.25,"1,375,400",33.42,"49,914,165",27.35%
05/01/2023,24.2(3.86 %),"1,655,895",40.07,"2,420,800",58.58,"764,905",18.51,"49,480,278",27.38%
