Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
15/07/2022,36.1(0.28 %),0,-0.48,0,0,0,0.48,"13,300",22.47%
14/07/2022,35.95(-0.42 %),0,-0.48,0,0,0,0.48,0,22.47%
13/07/2022,36.1(0.00 %),"-13,300",-0.48,0,0,"13,300",0.48,0,22.47%
12/07/2022,36.1(1.40 %),0,0,"2,608,480",94.17,"2,608,480",94.17,0,22.47%
11/07/2022,35.6(-5.32 %),0,0,"1,040,000",37.02,"1,040,000",37.02,0,22.47%
08/07/2022,37.55(-0.66 %),0,0,"560,000",37.02,"560,000",37.02,0,22.03%
07/07/2022,37.8(0.53 %),0,-0.75,0,0,0,0.75,0,22.47%
06/07/2022,37.6(-0.53 %),"-20,000",-0.75,0,0,"20,000",0.75,0,22.47%
05/07/2022,37.75(3.71 %),0,0,0,10.04,0,10.04,0,22.47%
04/07/2022,36.35(0.97 %),0,0,0,10.04,0,10.04,0,22.03%
01/07/2022,36(1.12 %),0,0,0,10.04,0,10.04,0,22.47%
30/06/2022,35.55(-3.40 %),0,0,"282,500",10.04,"282,500",10.04,0,22.47%
29/06/2022,36.75(0.14 %),0,0,0,0,0,0,0,22.47%
28/06/2022,36.7(3.09 %),0,0,0,0.66,0,0.66,0,22.47%
27/06/2022,35.55(0.14 %),0,0,0,0,0,0,0,22.47%
24/06/2022,35.5(-1.39 %),0,0,0,0.66,0,0.66,0,22.47%
23/06/2022,35.95(3.30 %),0,0,0,0.66,0,0.66,0,22.47%
22/06/2022,34.8(5.45 %),0,0,0,0.66,0,0.66,0,22.47%
21/06/2022,33(0.00 %),0,0,0,0.66,0,0.66,0,22.47%
20/06/2022,33(-4.35 %),0,0,"20,000",0.74,"20,000",0.74,0,22.47%
