Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
20/09/2024,18.1(-0.82 %),"73,300",1.3,"452,200",8.27,"378,900",6.97,"16,247,348",29.26%
19/09/2024,18.25(0.00 %),"379,600",7,"897,000",16.47,"517,400",9.47,"16,634,177",29.24%
18/09/2024,18.25(0.55 %),"2,868,300",52.44,"2,891,700",52.86,"23,400",0.42,"17,502,677",29.21%
17/09/2024,18.15(0.83 %),"1,178,300",21.24,"1,206,800",21.76,"28,500",0.51,"19,827,207",29.1%
16/09/2024,18(-0.83 %),"1,278,400",23.07,"1,845,500",33.36,"567,100",10.29,"20,416,707",29.07%
13/09/2024,18.15(0.00 %),"2,145,000",38.93,"2,762,300",50.14,"617,300",11.21,"20,586,207",29.06%
11/09/2024,17.85(0.28 %),"862,000",15.38,"1,055,000",18.82,"193,000",3.44,"24,257,638",28.9%
10/09/2024,17.8(1.14 %),"571,400",10.27,"1,829,600",32.76,"1,258,200",22.49,"25,273,038",28.85%
09/09/2024,17.6(-0.56 %),0,0,0,0,0,0,"27,132,438",28.77%
06/09/2024,17.7(0.57 %),"3,082,100",54.73,"3,102,300",55.08,"20,200",0.36,"27,264,438",28.76%
05/09/2024,17.6(-0.28 %),"1,167,800",20.61,"1,202,000",21.21,"34,200",0.6,"30,175,238",28.63%
04/09/2024,17.65(-1.40 %),"-4,700",-0.08,"186,800",3.3,"191,500",3.38,"31,377,238",28.57%
30/08/2024,17.9(0.28 %),"1,040,300",18.61,"1,040,300",18.61,0,0,"31,543,638",28.57%
29/08/2024,17.85(0.56 %),"1,060,700",18.97,"1,081,100",19.33,"20,400",0.36,"32,488,938",28.52%
28/08/2024,17.75(0.00 %),"-13,500",-0.24,"81,500",1.45,"95,000",1.69,"33,528,639",28.48%
27/08/2024,17.75(-0.28 %),"25,800",0.46,"65,700",1.17,"39,900",0.71,"33,448,939",28.48%
26/08/2024,17.8(-0.56 %),"-111,300",-2,"49,900",0.89,"161,200",2.9,"33,482,239",28.48%
23/08/2024,17.9(-0.56 %),"1,117,300",19.94,"1,149,700",20.53,"32,400",0.58,"33,376,939",28.48%
22/08/2024,18(0.56 %),"882,500",15.84,"1,037,700",18.63,"155,200",2.79,"34,197,089",28.45%
21/08/2024,0(0.00 %),"-197,900",-3.48,"131,600",2.32,"329,500",5.8,"35,210,589",28.4%
