Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
22/05/2024,90.7(-0.44 %),"-462,100",-41.98,"57,400",5.22,"519,500",47.2,"364,951,424",23.47%
21/05/2024,91.1(-0.87 %),"-889,900",-81.17,"68,800",6.29,"958,700",87.46,"364,656,544",23.48%
20/05/2024,91.9(0.11 %),"71,500",6.59,"463,700",42.72,"392,200",36.13,"364,348,800",23.48%
17/05/2024,91.8(-0.86 %),"-313,300",-28.83,"83,100",7.66,"396,400",36.49,"364,234,784",23.48%
16/05/2024,92.6(1.76 %),"-355,400",-32.71,"222,300",20.49,"577,700",53.2,"364,081,644",27.74%
15/05/2024,91(0.44 %),"-424,800",-38.65,"135,700",12.35,"560,500",51,"363,726,244",27.74%
14/05/2024,90.6(-0.44 %),"-320,200",-29.09,"31,600",2.87,"351,800",31.97,"363,301,444",27.75%
13/05/2024,91(-1.09 %),"-406,700",-36.98,"175,100",15.95,"581,800",52.93,"362,897,568",23.51%
10/05/2024,92(-0.54 %),"-273,000",-25.13,"41,900",3.87,"314,900",29,"362,910,900",23.51%
09/05/2024,92.5(-0.54 %),"-54,200",-5.03,"107,500",9.96,"161,700",14.99,"362,483,360",23.51%
08/05/2024,93(0.11 %),"247,400",23.01,"766,800",71.09,"519,400",48.07,"362,118,752",23.52%
07/05/2024,92.9(-0.11 %),"211,800",19.91,"733,900",68.51,"522,100",48.6,"362,298,048",23.52%
06/05/2024,93(0.54 %),"19,000",1.76,"606,400",56.34,"587,400",54.58,"362,390,800",23.52%
03/05/2024,92.5(0.65 %),"560,200",51.89,"1,201,300",111.37,"641,100",59.48,"362,369,728",23.52%
02/05/2024,91.9(0.77 %),"-2,900",-0.2,"624,500",57.25,"627,400",57.44,"363,052,300",23.5%
26/04/2024,91.2(0.22 %),"742,700",68.82,"1,261,500",116.46,"518,800",47.64,"363,285,760",23.5%
25/04/2024,91(0.44 %),"186,900",17.28,"777,900",71.4,"591,000",54.12,"363,062,513",27.76%
24/04/2024,90.6(0.55 %),"-367,400",-33.28,"986,800",89.47,"1,354,200",122.75,"363,249,413",27.75%
23/04/2024,90.1(-0.55 %),"375,200",33.75,"936,400",84.28,"561,200",50.54,"363,753,100",23.49%
22/04/2024,90.6(0.11 %),"160,300",14.58,"601,400",54.59,"441,100",40.01,"364,204,256",23.48%
