Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
18/10/2024,45.25(0.33 %),"-751,800",-33.91,"1,240,400",56.53,"1,992,200",90.44,"1,577,298,009",13.78%
17/10/2024,45.1(0.22 %),"-994,500",-44.8,"150,800",6.78,"1,145,300",51.58,"1,577,154,079",13.78%
16/10/2024,45(0.78 %),"-895,800",-40.04,"298,500",13.4,"1,194,300",53.44,"1,576,886,703",13.79%
15/10/2024,44.65(-1.54 %),"657,800",29.43,"1,076,000",48.25,"418,200",18.82,"1,575,591,459",13.82%
14/10/2024,45.35(4.01 %),"1,516,200",69.5,"3,109,800",142.07,"1,593,600",72.57,"1,567,596,240",14%
11/10/2024,43.6(3.44 %),"3,817,500",165.97,"4,088,600",177.64,"271,100",11.68,"1,569,746,599",13.95%
10/10/2024,42.15(-0.82 %),"-744,500",-31.66,"142,900",6.07,"887,400",37.72,"1,573,665,307",13.86%
09/10/2024,42.5(2.16 %),"993,900",42.01,"1,209,700",51.11,"215,800",9.1,"1,572,704,875",13.88%
08/10/2024,41.6(0.97 %),"-374,300",-15.17,"728,300",30.07,"1,102,600",45.24,"1,572,315,884",13.89%
07/10/2024,41.2(-0.72 %),"-93,500",-3.93,"1,505,300",62.15,"1,598,800",66.08,"1,566,445,464",14.03%
04/10/2024,41.5(-0.24 %),"460,800",18.97,"1,059,500",43.98,"598,700",25.01,"1,566,925,032",14.01%
03/10/2024,41.6(-4.15 %),"2,793,800",118.01,"3,819,500",161.43,"1,025,700",43.43,"1,567,769,393",14%
02/10/2024,43.4(-0.12 %),"1,083,200",46.71,"1,298,300",55.99,"215,100",9.28,"1,571,234,253",13.92%
01/10/2024,43.45(1.52 %),"3,981,000",173.57,"4,335,600",189.07,"354,600",15.51,"1,572,170,038",13.89%
30/09/2024,42.8(-1.38 %),"806,500",34.51,"1,169,000",50.05,"362,500",15.54,"1,575,784,241",13.81%
27/09/2024,43.4(-2.25 %),"549,000",24.07,"1,270,400",55.62,"721,400",31.55,"1,576,740,159",13.79%
26/09/2024,44.4(0.57 %),"2,390,800",106,"2,603,800",115.45,"213,000",9.45,"1,576,881,837",13.79%
25/09/2024,44.15(-0.23 %),"-466,400",-20.48,"654,400",28.84,"1,120,800",49.33,"1,579,132,209",13.73%
24/09/2024,44.25(1.37 %),"556,300",24.46,"906,800",39.87,"350,500",15.41,"1,579,065,225",13.74%
23/09/2024,43.65(-0.23 %),"-59,300",-2.57,"666,500",28.97,"725,800",31.54,"1,570,354,758",13.94%
