Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
13/09/2022,64.1(0.16 %),"110,183",1.88,"638,968",6.54,"528,785",4.66,"1,392,471,629",12.03%
12/09/2022,64(-0.62 %),889,43.62,"116,000",44.42,"115,111",0.81,"1,393,098,097",12.01%
09/09/2022,64.4(2.38 %),"677,300",43.62,"689,800",44.42,"12,500",0.81,"1,393,184,297",12.01%
08/09/2022,62.9(0.64 %),"142,700",8.98,"172,500",10.85,"29,800",1.87,"1,393,556,297",12%
07/09/2022,62.5(-1.26 %),"-67,100",-4.19,"246,200",15.39,"313,300",19.58,"1,393,071,096",12.01%
06/09/2022,63.3(-1.09 %),"-537,600",-34.03,"120,200",7.61,"657,800",41.64,"1,392,730,454",12.02%
05/09/2022,64(0.47 %),"-258,600",-16.55,"628,200",40.2,"886,800",56.76,"1,392,383,454",12.03%
31/08/2022,63.7(0.16 %),"-331,000",-21.08,"353,200",22.5,"684,200",43.58,"1,392,376,254",12.03%
30/08/2022,63.6(0.00 %),"-327,800",-20.85,"7,600",0.48,"335,400",21.33,"1,392,025,154",12.04%
29/08/2022,63.6(-2.15 %),"-450,500",-28.65,"53,800",3.42,"504,300",32.07,"1,391,621,061",12.05%
26/08/2022,65(-1.37 %),"-371,700",-24.16,"39,900",2.59,"411,600",26.75,"1,391,609,454",12.05%
25/08/2022,65.9(1.54 %),"21,000",1.38,"86,400",5.69,"65,400",4.31,"1,391,287,854",12.06%
24/08/2022,64.9(-0.15 %),"-341,900",-22.19,"12,600",0.82,"354,500",23.01,"1,390,827,355",12.07%
23/08/2022,65(-1.52 %),"-501,800",-32.62,"45,000",2.93,"546,800",35.54,"1,390,442,955",12.08%
22/08/2022,66(-2.80 %),"307,800",20.31,"704,800",46.52,"397,000",26.2,"1,390,302,855",12.08%
19/08/2022,67.9(-0.29 %),"238,300",16.18,"830,400",56.38,"592,100",40.2,"1,390,467,795",12.08%
18/08/2022,68.1(1.19 %),"-30,600",-2.08,"509,200",34.68,"539,800",36.76,"1,390,545,895",12.08%
17/08/2022,67.3(2.12 %),"136,200",9.17,"549,500",36.98,"413,300",27.82,"1,390,568,495",12.07%
16/08/2022,65.9(-0.75 %),"-138,700",-9.14,"307,400",20.26,"446,100",29.4,"1,390,958,344",12.06%
15/08/2022,66.4(0.30 %),"-16,500",-1.1,"168,700",11.2,"185,200",12.3,"1,391,222,032",12.06%
