Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
11/10/2022,107(-2.73 %),"-11,082",-1.19,"86,018",9.2,"97,100",10.39,"74,116,500",16.32%
10/10/2022,110(-4.35 %),"-15,490",-1.7,"46,210",5.08,"61,700",6.79,"74,139,918",16.31%
07/10/2022,115(0.70 %),"82,784",9.52,"145,384",16.72,"62,600",7.2,"74,161,026",16.31%
06/10/2022,114.2(-0.70 %),"137,498",15.7,"147,100",16.8,"9,602",1.1,"74,290,410",16.28%
05/10/2022,115(1.86 %),"286,001",32.89,"292,001",33.58,"6,000",0.69,"74,429,510",16.26%
04/10/2022,112.9(2.64 %),"110,100",12.43,"110,100",12.43,0,0,"74,663,483",16.21%
03/10/2022,110(-0.81 %),"16,048",1.77,"46,576",5.12,"30,528",3.36,"74,735,583",16.2%
30/09/2022,110.9(0.73 %),"100,600",11.16,"131,100",14.54,"30,500",3.38,"74,724,669",16.2%
29/09/2022,110.1(0.00 %),"47,310",5.21,"53,800",5.92,"6,490",0.71,"74,821,489",16.19%
28/09/2022,110.1(-0.36 %),"-2,380",-0.26,"13,900",1.53,"16,280",1.79,"74,864,312",16.18%
27/09/2022,110.5(0.36 %),"16,123",1.78,"27,100",2.99,"10,977",1.21,"74,845,312",16.18%
26/09/2022,110.1(-2.39 %),"34,200",3.77,"65,100",7.17,"30,900",3.4,"74,829,812",16.18%
23/09/2022,112.8(-1.91 %),"-30,700",-3.46,"10,400",1.17,"41,100",4.64,"74,869,613",16.18%
22/09/2022,115(0.00 %),"-2,999",-0.34,"22,300",2.56,"25,299",2.91,"74,854,313",16.18%
21/09/2022,115(-0.95 %),"-10,500",-1.21,"15,200",1.75,"25,700",2.96,"74,873,113",16.18%
20/09/2022,116.1(0.96 %),"98,500",11.44,"102,000",11.84,"3,500",0.41,"74,857,193",16.18%
19/09/2022,115(-0.61 %),"62,180",7.15,"93,300",10.73,"31,120",3.58,"73,240,543",0%
16/09/2022,115.7(-0.26 %),"-1,456,337",-168.5,"264,263",30.58,"1,720,600",199.07,"73,302,723",16.47%
15/09/2022,116(-0.17 %),"127,330",1.89,"152,500",15.28,"25,170",13.39,0,16.44%
14/09/2022,116.2(-1.02 %),"16,285",2.12,"131,500",2.29,"115,215",0.18,"73,506,465",16.43%
