Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
29/07/2021,86.8(-0.12 %),"7,230",6.49,"49,220",42.74,"41,990",36.25,"936,220,181",55.2%
28/07/2021,86.9(-0.69 %),"9,250",8.03,"54,550",47.41,"45,300",39.38,"936,426,281",55.19%
27/07/2021,87.5(-1.57 %),"-411,700",-36.19,"288,900",25.58,"700,600",61.76,"937,046,234",55.16%
26/07/2021,88.9(1.48 %),"3,560",3.17,"25,870",22.99,"22,310",19.82,"936,925,481",55.17%
23/07/2021,87.6(0.92 %),"122,130",106.09,"162,280",141.2,"40,150",35.1,"936,486,381",55.19%
22/07/2021,86.8(1.76 %),"599,800",51.78,"765,400",66.12,"165,600",14.34,"937,891,434",55.12%
21/07/2021,85.3(-0.70 %),"22,800",1.99,"1,020,600",87.26,"997,800",85.27,"938,491,234",55.1%
20/07/2021,85.9(1.06 %),"144,100",12.46,"1,517,700",128.94,"1,373,600",116.48,"938,514,034",55.09%
19/07/2021,85(-1.05 %),"143,800",121.8,"151,130",127.99,"7,330",6.19,"938,312,550",55.1%
16/07/2021,85.9(0.82 %),"521,400",44.81,"587,700",50.49,"66,300",5.69,"940,096,134",55.02%
15/07/2021,85.2(0.24 %),"100,860",86.01,"197,140",168.13,"96,280",82.11,"936,865,590",55.17%
14/07/2021,85(0.83 %),"-39,500",-2.77,"2,072,200",176.15,"2,111,700",178.92,"941,626,134",54.95%
13/07/2021,84.3(-2.32 %),"-1,156,400",-97.97,"402,900",34.19,"1,559,300",132.16,"941,586,634",54.95%
12/07/2021,86.3(-0.80 %),"222,800",18.93,"624,300",53.67,"401,500",34.74,"940,430,234",55%
09/07/2021,87(-1.58 %),"21,420",18.73,"90,400",79.15,"68,980",60.43,"940,388,692",55%
08/07/2021,88.4(-1.56 %),"36,160",32.13,"66,730",59.13,"30,570",27,"940,021,306",55.02%
07/07/2021,89.8(3.22 %),"208,110",183.7,"224,210",197.79,"16,100",14.08,"940,151,406",55.02%
06/07/2021,87(-2.47 %),"-44,580",-39.59,"77,310",68.74,"121,890",108.33,"941,685,808",54.94%
05/07/2021,89.2(-1.00 %),"-152,900",-12.26,"363,300",30.73,"516,200",42.98,"942,864,134",54.89%
02/07/2021,90.1(-0.88 %),"218,000",19.83,"925,700",83.91,"707,700",64.08,"942,711,234",54.89%
