Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
27/09/2021,67(0.00 %),"-6,000",-0.41,0,0,"6,000",0.41,"79,360,471",12.22%
24/09/2021,67(0.00 %),"-20,800",-1.39,0,0,"20,800",1.39,"79,354,471",12.22%
23/09/2021,67(0.30 %),"-2,000",-0.13,0,0,"2,000",0.13,"79,333,671",12.22%
22/09/2021,66.8(-0.15 %),"-8,100",-0.54,0,0,"8,100",0.54,"79,331,671",12.22%
21/09/2021,66.9(-0.89 %),"-1,000",-0.07,0,0,"1,000",0.07,"79,323,571",12.22%
20/09/2021,67.5(0.75 %),0,0,0,0,0,0,"79,322,571",12.22%
17/09/2021,67(3.08 %),0,0,0,0,0,0,"79,322,571",12.22%
16/09/2021,65(1.72 %),0,0,0,0,0,0,"79,322,571",12.22%
15/09/2021,63.9(0.00 %),0,0,0,0,0,0,"79,322,571",12.22%
14/09/2021,63.9(-1.39 %),"-700,100",-45.01,0,0,"700,100",45.01,"79,322,571",12.22%
13/09/2021,64.8(0.31 %),0,0,0,0,0,0,"78,622,471",12.25%
10/09/2021,64.6(1.89 %),-600,-0.04,0,0,600,0.04,"78,622,471",12.25%
09/09/2021,63.4(2.26 %),0,0,0,0,0,0,"78,621,871",12.25%
08/09/2021,62(-2.36 %),"-300,000",-18.82,0,0,"300,000",18.82,"78,621,871",12.25%
07/09/2021,63.5(3.93 %),0,0,0,0,0,0,"78,321,871",12.26%
06/09/2021,61.1(-0.65 %),"-11,200",-0.69,0,0,"11,200",0.69,"78,321,871",12.26%
01/09/2021,61.5(-0.16 %),"-100,000",-6.2,0,0,"100,000",6.2,"78,310,671",12.26%
31/08/2021,61.6(0.00 %),"-100,000",-6.18,0,0,"100,000",6.18,"78,210,671",12.26%
30/08/2021,61.6(0.65 %),"-20,200",-1.24,0,0,"20,200",1.24,"78,110,671",12.27%
27/08/2021,61.2(0.66 %),"-290,000",-17.56,0,0,"290,000",17.56,"78,090,471",12.27%
