Ngày,Thay đổi,Giao dịch ròng - Khối lượng,Giao dịch ròng - Giá trị (tỷ VNĐ),Mua - Khối lượng,Mua - Giá trị (tỷ VNĐ),Bán - Khối lượng,Bán - Giá trị (tỷ VNĐ),Room còn lại,Đang sở hữu
22/11/2023,22.8(0.88 %),"-1,950,200",-44.15,"189,000",4.29,"2,139,200",48.44,"403,021,040",31.69%
21/11/2023,22.6(0.22 %),"-2,597,100",-58.77,"417,400",9.46,"3,014,500",68.23,"401,165,728",31.77%
20/11/2023,22.55(-1.10 %),"-1,679,100",-38.22,"365,300",8.36,"2,044,400",46.58,"399,762,392",31.83%
17/11/2023,22.8(-4.40 %),"-1,609,200",-37.39,"108,800",2.54,"1,718,000",39.93,"397,515,399",31.93%
16/11/2023,23.85(-1.04 %),0,0,0,0,0,0,"396,822,343",32.76%
15/11/2023,24.1(0.42 %),"26,600",0.74,"566,200",13.87,"539,600",13.13,"396,822,343",32.76%
14/11/2023,24(2.13 %),"-12,900",-0.22,"1,143,300",27.28,"1,156,200",27.5,"396,848,943",32.75%
13/11/2023,23.5(-1.88 %),"-493,900",-11.78,"795,200",19.06,"1,289,100",30.84,"396,162,037",31.99%
10/11/2023,23.95(-1.44 %),"775,800",18.65,"1,233,300",29.66,"457,500",11,"396,342,143",31.98%
09/11/2023,24.3(2.53 %),"350,400",8.51,"975,600",23.75,"625,200",15.24,"394,549,243",32.06%
08/11/2023,23.7(2.38 %),"-2,436,800",-56.84,"566,900",13.3,"3,003,700",70.14,"390,815,562",32.22%
07/11/2023,23.15(-3.54 %),"-1,746,900",-40.8,"657,300",15.37,"2,404,200",56.18,"389,037,591",33.1%
06/11/2023,24(-1.64 %),"-994,000",-23.86,"929,300",22.3,"1,923,300",46.17,"387,290,691",33.17%
03/11/2023,24.4(4.95 %),"790,400",19.53,"4,984,600",119.47,"4,194,200",99.95,"386,296,691",33.22%
02/11/2023,23.25(2.42 %),"-2,583,200",-59.47,"1,194,100",27.48,"3,777,300",86.96,"387,087,091",33.18%
01/11/2023,22.7(2.25 %),"-368,800",-8.07,"2,094,400",46.64,"2,463,200",54.71,"384,503,891",32.49%
31/10/2023,22.2(-3.90 %),"1,082,700",25.18,"2,978,500",68.59,"1,895,800",43.41,"385,379,540",32.45%
30/10/2023,23.1(0.87 %),"329,600",7.63,"1,548,400",35.86,"1,218,800",28.24,"383,293,808",32.54%
27/10/2023,22.9(-6.91 %),"-3,572,500",-83.26,"1,488,400",34.37,"5,060,900",117.63,"383,705,483",32.52%
26/10/2023,24.6(-6.99 %),"-235,400",-5.58,"890,300",22.19,"1,125,700",27.77,"383,520,183",32.53%
