LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,406","6,595","2,146","4,535","5,942"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,276","-4,434","-2,545","-3,333","-3,740"
3. Thu nhập từ hoạt động dịch vụ nhận được,127,202,144,437,321
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",164,49,-62,516,-61
5. Thu nhập khác,,-2,5,26,-29
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,1,,-1,
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-503,-880,-485,-553,-676
8. Tiền thuế thu nhập thực nộp trong kỳ,-175,-315,-191,-208,-258
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,745,"1,217",-988,"1,419","1,499"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,836","2,290",323,"-8,184","5,347"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,331,"-3,464","-15,835","4,344","12,617"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,-10,10,-78,-578
12. (Tăng)/Giảm các khoản cho vay khách hàng,"3,922","-10,054","-8,514","-6,289","-4,446"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,,,,
14. (Tăng)/Giảm khác về tài sản hoạt động,"-3,469","10,576","-10,804","12,068","6,206"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-866,-359,560,"-1,007","-4,732"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",882,"10,787","-4,058","10,954","6,336"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"3,080","11,174","8,380",149,"3,359"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),12,"-1,147","2,436","10,363",107
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",984,7,38,65,"2,399"
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,15,-23,676,-676,
21. Tăng/(Giảm) khác về công nợ hoạt động,"1,059","-13,589","11,764","-11,307","-6,199"
22. Chi từ các quỹ của TCTD,-56,-84,-14,-29,-45
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"8,475","7,320","-16,026","11,791","21,871"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-108,-163,-73,-380,-97
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-89,-205,-786,-552,97
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,112,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",20,297,27,6,5
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-178,-71,-832,-813,5
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,500,"1,563",
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,500,,"-1,500","-1,000",
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia","-1,167","-1,172",,"-1,328",
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-667,"-1,172","-1,000",-766,
IV- Lưu chuyển tiền thuần trong kỳ,"7,630","6,077","-17,858","10,213","21,876"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"40,311","40,155",,,"38,311"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,26,335,82,-695,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"47,967","46,567","-17,776","9,518","60,187"
