LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q2/2013,Q2/2014,Q2/2015,Q2/2017,Q1/2018
Giai đoạn,01/04-30/06,01/04-30/06,01/04-30/06,01/04-30/06,01/01-31/03
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,353,232,102,3,301
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,23,26,26,27,38
Các khoản dự phòng,,,,,3
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",-540,-177,-116,-79,5
Chi phí lãi vay,81,73,120,118,150
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,-83,154,131,69,497
"Tăng, giảm các khoản phải thu",-70,"-1,579","-4,109",-356,-388
"Tăng, giảm hàng tồn kho","-1,528","-1,104",-757,-860,-37
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-345,"1,184","3,475",-890,227
"Tăng, giảm chi phí trả trước",1,16,19,-30,12
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-282,-321,-516,-431,-336
Thuế thu nhập doanh nghiệp đã nộp,-47,-125,-71,-7,-55
Tiền thu khác từ hoạt động kinh doanh,,4,8,20,339
Tiền chi khác cho hoạt động kinh doanh,-59,-36,-53,-21,-311
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-2,414","-1,807","-1,874","-2,506",-52
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-5,-6,-5,-42,-27
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-30,-59,,130,-53
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",325,20,,"1,436",54
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-8,,,,-450
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,48,29,"1,080",
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",540,72,187,610,48
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,822,75,211,"3,215",-428
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,-5
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"2,505","4,446","2,617","5,146","1,655"
4. Tiền trả nợ gốc vay,"-1,409","-5,085","-1,829","-4,745","-1,727"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,-1,-2
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,096",-639,788,401,-79
Lưu chuyển tiền thuần trong kỳ,-496,"-2,371",-875,"1,111",-559
Tiền và tương đương tiền đầu kỳ,,,"2,549",,"2,968"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"1,095","2,315","1,674","2,326","2,409"
