LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"37,132","33,049","33,627","34,674","34,333"
2. Chi phí lãi và các chi phí tương tự đã trả,"-26,807","-22,723","-21,671","-21,134","-20,517"
3. Thu nhập từ hoạt động dịch vụ nhận được,"1,614","1,693","1,939","1,475","1,967"
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)","4,983","1,631","2,324",663,"6,235"
5. Thu nhập khác,"-2,814",-392,-748,-293,"-1,718"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","2,124",892,"1,778","1,794","3,644"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-7,178","-7,054","-5,669","-5,240","-7,839"
8. Tiền thuế thu nhập thực nộp trong kỳ,-240,"-3,439","-1,473","-1,643",-331
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"8,814","3,659","10,108","10,296","15,774"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,512",-329,"-1,255","-2,575","-4,606"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-16,509","2,092","-33,805","-10,210","-24,585"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,-34,34,-56,-608
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-124,213","-16,265","-88,885","-70,250","-103,017"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-6,104","-3,622","-8,672","-3,625","-7,644"
14. (Tăng)/Giảm khác về tài sản hoạt động,"1,214","-9,471","-15,385","10,436","12,859"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"-116,727","21,126","74,106","-35,713","72,973"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-6,005","-14,021","25,396","23,046","16,705"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"260,528","30,089","72,146","66,800","79,446"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"27,469","-8,922","17,084","-4,331","5,583"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-291,-18,-227,-355,373
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-70,-328,398,-398,
21. Tăng/(Giảm) khác về công nợ hoạt động,-529,511,"-1,451","1,121",-419
22. Chi từ các quỹ của TCTD,-1,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"29,090","4,466","49,593","-15,814","62,834"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-779,-310,-334,-335,-266
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",7,1,2,7,10
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-2,-1,-1,-3,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",-128,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,14
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",182,4,70,8,6
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-720,-306,-262,-323,-237
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",-75,,-9,,-86
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,-75,,-9,,-86
IV- Lưu chuyển tiền thuần trong kỳ,"28,295","4,160","49,323","-16,137","62,512"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"224,739",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"28,295","228,899","49,323","-16,137","62,512"
