LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2010,Q3/2010,Q3/2011,Q1/2012,Q2/2012
Giai đoạn,01/01-31/03,01/07-30/09,01/07-30/09,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"7,932","19,926","32,128","12,225","9,777"
2. Chi phí lãi và các chi phí tương tự đã trả,"-6,059","-13,652","-23,457","-9,043","-7,300"
3. Thu nhập từ hoạt động dịch vụ nhận được,364,"1,178","1,420",504,385
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",-156,-24,93,51,54
5. Thu nhập khác,-97,-68,12,-56,53
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",58,252,297,77,124
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-585,"-2,681","-4,068","-1,608",-850
8. Tiền thuế thu nhập thực nộp trong kỳ,-212,-630,"-1,048",-291,
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"1,243","4,300","5,378","1,858","2,245"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-315,-708,"-2,707",82,"1,715"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"1,016","2,724",-795,"-9,682","-6,244"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,,,
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-9,340","-34,179","-22,863","-7,648","-20,179"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,-220,"-1,007",,"-1,039"
14. (Tăng)/Giảm khác về tài sản hoạt động,"-1,871","-3,137","-3,271","-1,169",-611
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"-2,101","-13,351","-1,581","4,949","-24,026"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","8,839","13,912",-573,"-4,699","2,550"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"2,412","43,716","9,915","8,221","26,319"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"-7,552","-10,327","-1,897",-91,"4,500"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","-6,683","-2,315","22,275",994,"2,082"
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-158,-235,3,-1,1
21. Tăng/(Giảm) khác về công nợ hoạt động,-556,103,434,"1,753",-292
22. Chi từ các quỹ của TCTD,-173,"-1,268",,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"-15,239",-986,"3,308","-5,432","-12,979"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-4,-64,-125,-12,-7
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,2,2,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,-1,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-4,-254,"-1,217",-318,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,30,6,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",37,162,100,23,32
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,30,-125,"-1,235",-307,25
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"3,344","3,389",45,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,"3,344","3,389",45,,
IV- Lưu chuyển tiền thuần trong kỳ,"-11,865","2,277","2,118","-5,739","-12,953"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,"40,365","40,365","56,985","48,919","44,958"
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"28,501","42,643","59,103","43,180","32,004"
