LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Soát xét,VST Tính,VST Tính
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Tiền thu phí và hoa hồng,,,,,
2. Tiền thu từ các khoản nợ phí và hoa hồng,,,,,
3. Tiền thu từ các khoản thu được giảm chi,,,,,
4. Tiền thu từ các hoạt động kinh doanh khác,,,,,
5. Trả tiền bồi thường bảo hiểm,,,,,
6.Trả tiền hoa hồng và các khoản nợ khác của kinh doanh BH,,,,,
"7. Trả tiền cho người bán, người cung cấp dịch vụ",,,,,
8. Trả tiền cho cán bộ công nhân viên,,,,,
9. Trả tiền nộp thuế và các khoản nợ nhà nước,,,,,
10. Trả tiền cho các khoản nợ khác,,,,,
11. Tiền tạm ứng cho CBCNV và ứng trước cho người bán,,,,,
12. Tiền thu khác từ hoạt động kinh doanh,,,,,
13. Tiền chi khác từ hoạt động kinh doanh,,,,,
Lưu chuyển tiền thuần từ HĐKD,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Tiền thu từ các khoản đầu tư vào đơn vị khác,,,,,
2. Tiền thu từ lãi các khoản đầu tư khác,,,,,
3. Tiền thu do bán tài sản cố định,,,,,
4. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
5. Tiền mua tài sản cố định,,,,,
6. Tiền thu khác từ hoạt động đầu tư,,,,,
7. Tiền chi khác từ hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu (tiền thu do các chủ sở hữu góp vốn)",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
"3. Tiền vay ngắn hạn, dài hạn nhận được (Tiền thu do di vay)",,,,,
4. Tiền thu từ lãi tiền gửi,,,,,
5. Tiền chi trả nợ gốc vay,,,,,
6. Tiền chi trả nợ thuê tài chính,,,,,
"7. Cổ tức, lợi nhuận đã trả cho chủ sở hữu (Tiền lãi đã trả cho các nhà đầu tư vào doanh nghiệp)",,,,,
8. Tiền thu khác từ hoạt dộng tài chính,,,,,
9. Tiền chi khác từ hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,
Lưu chuyển tiền thuần trong kỳ,,,,,
Tiền và tương đương tiền đầu kỳ,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,,,,,
