LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Soát xét
Công ty kiểm toán,,,,,EY
Ý kiến kiểm toán,,,,,Chấp nhận toàn phần
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,457,453,293,266,480
2. Điều chỉnh cho các khoản:,,,,,
Khấu hao tài sản cố định,33,43,43,39,34
Các khoản dự phòng,"1,411","1,219","1,855","1,498","1,842"
"Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",-4,1,,-2,12
"Lãi, lỗ từ hoạt động đầu tư",-732,-637,"-1,265",-798,"-1,032"
Chi phí lãi vay,37,54,55,77,105
Khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,202","1,134",981,"1,081","1,441"
"Tăng, giảm các khoản phải thu",-49,-204,99,273,-380
"Tăng, giảm hàng tồn kho",-16,1,-34,-45,7
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-284,"1,340","-1,008",170,-145
"Tăng, giảm chi phí trả trước",20,25,-43,-6,-70
"Tăng, giảm chứng khoán kinh doanh",23,-7,8,88,-75
Tiền lãi vay đã trả,,,-116,-51,-62
Thuế thu nhập doanh nghiệp đã nộp,-77,-72,-58,-68,-69
Tiền thu khác từ hoạt động kinh doanh,15,29,-44,,
Tiền chi khác từ hoạt động kinh doanh,275,-381,13,-22,-28
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,109","1,865",-201,"1,420",619
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-6,-13,-150,61,-33
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,92,-91,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-5,526","-3,971","4,499","-8,544","-6,941"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4,355","2,844","-5,461","1,796","5,731"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,-198,-529
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được  chia",88,107,"1,925",987,"1,005"
8. Tiền thu khác từ hoạt động đầu tư,,,,,
9. Tiền chi khác từ hoat động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,088","-1,033",905,"-5,989",-766
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
"3. Tiền vay ngắn hạn, dài hạn nhận được",757,"5,391","3,648","7,100","4,545"
4. Tiền chi trả nợ gốc vay,-425,"-5,144","-3,062","-3,743","-2,535"
5. Tiền chi trả nợ thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-1,-680,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác từ hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,331,-433,587,"3,357","2,010"
Lưu chuyển tiền thuần trong kỳ,352,399,"1,291","-1,212","1,862"
Tiền và tương đương tiền đầu kỳ,"1,425","1,778","2,177","3,469","2,257"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,1,,1,,2
Tiền và tương đương tiền cuối kỳ,"1,778","2,177","3,469","2,257","4,121"
