LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"10,382","11,329","11,242","11,270","9,228"
2. Chi phí lãi và các chi phí tương tự đã trả,"-6,345","-7,348","-6,338","-5,812","-5,720"
3. Thu nhập từ hoạt động dịch vụ nhận được,338,322,300,370,433
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5,503,69,221,106
5. Thu nhập khác,37,-87,-8,-92,349
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",235,500,189,297,342
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-2,257","-3,206","-2,910","-2,214","-1,525"
8. Tiền thuế thu nhập thực nộp trong kỳ,-192,-784,-542,-296,-722
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"2,204","1,229","2,000","3,744","2,491"
Những thay đổi về tài sản hoạt động,,,"-9,068","9,068",
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-7,409","-4,790","-3,555","-2,852","-2,277"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-5,567",-153,,"-7,693","2,491"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-41,-2,74,,-83
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-16,231","-32,463","8,730","-9,981","-10,948"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,7,"-3,597",,,
14. (Tăng)/Giảm khác về tài sản hoạt động,-944,"1,391","-1,014",740,-770
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-56,"2,413","-2,525",-4,-23
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","17,832","34,931","-9,402","-6,628","-4,271"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"17,122","14,081","13,692","4,470","22,213"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),-478,"14,924","-10,204","10,356","-13,304"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",249,"-5,015","1,993","-6,770","2,927"
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,91,-61,-30
21. Tăng/(Giảm) khác về công nợ hoạt động,-532,"-1,448","1,802","2,075",438
22. Chi từ các quỹ của TCTD,880,,,,
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"7,037","21,500","-7,385","-3,536","-1,147"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,"-1,743","-1,175",-368,-218,-981
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",16,-11,1,1,1
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,-4,-1
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-53,-10,-80,80,-297
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,14,5,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",6,11,,24,314
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,774","-1,170",-442,-116,-963
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,"15,413",
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,"-4,195"
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,"15,413","-4,195"
IV- Lưu chuyển tiền thuần trong kỳ,"5,263","20,330","-7,828","11,761","-6,305"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"59,314",,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,80,-80,,-2,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"5,342","20,250",,,
