LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"27,358","19,658","20,187","21,081","22,047"
2. Chi phí lãi và các chi phí tương tự đã trả,"-17,921","-11,360","-12,479","-11,491","-12,196"
3. Thu nhập từ hoạt động dịch vụ nhận được,862,"1,041",980,"1,168","1,067"
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)","2,012","1,214",494,497,472
5. Thu nhập khác,-745,-124,63,"1,129","-1,274"
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","1,177",221,253,"-1,147","2,011"
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-5,335","-3,020","-3,507","-2,989","-4,813"
8. Tiền thuế thu nhập thực nộp trong kỳ,-451,-44,-422,-419,-615
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"6,957","7,587","5,569","7,828","6,700"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","-2,135","1,360","-1,298",-335,"-2,048"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-295,"3,358","-3,105","-12,472","3,742"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-177,-37,43,109,-303
12. (Tăng)/Giảm các khoản cho vay khách hàng,"26,692","3,336","-19,898","-13,521","-31,503"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,,"-4,047",,"-4,712"
14. (Tăng)/Giảm khác về tài sản hoạt động,"-4,718","-2,714","-5,086","1,150","-3,302"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"2,086","-4,552","13,434","2,022","-2,901"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-11,947","-15,617",604,"-3,005","16,102"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),67,"-1,204","22,247","18,606","27,319"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"5,099",,"13,300","-4,400","1,950"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-664,-27,-5,-85,-41
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,305,-630,"-14,745","1,277","-7,594"
22. Chi từ các quỹ của TCTD,,,,,-2
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"21,270","-9,140","7,014","-2,826","3,405"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-290,-188,101,88,-379
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",4,1,237,-154,306
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,-219,-32,-1
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,305,217,-217
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",43,3,325,10,29
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-243,-184,749,129,-262
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,593,-6,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,-26,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,593,-32,
IV- Lưu chuyển tiền thuần trong kỳ,"21,027","-9,324","8,356","-2,729","3,143"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"155,545",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-82,117,211,-213,-59
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"20,944","146,338","8,567","-2,942","3,084"
