LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,516",582,645,599,633
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,444,125,120,138,164
Các khoản dự phòng,72,6,18,15,46
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-15,2,-16,-2,-1
"Lãi, lỗ từ hoạt động đầu tư",-403,-84,-88,-52,-182
Chi phí lãi vay,132,36,47,49,34
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,-8,7,2,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,746",658,733,750,695
"Tăng, giảm các khoản phải thu",-681,281,-343,-228,-390
"Tăng, giảm hàng tồn kho",-697,-151,-94,-272,-794
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",792,-834,747,455,717
"Tăng, giảm chi phí trả trước",-64,-17,-119,-118,147
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-109,-60,-23,-54,-65
Thuế thu nhập doanh nghiệp đã nộp,-441,-156,-87,-100,-59
Tiền thu khác từ hoạt động kinh doanh,25,,,,
Tiền chi khác cho hoạt động kinh doanh,25,-20,-11,5,-40
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,595",-300,803,437,211
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-1,054",-210,-342,22,-911
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,,14,-9,19
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-1,014",,286,453,-777
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,582,-582,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",119,25,59,35,71
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,-203
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,949",396,-565,500,"-1,801"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",14,6,,9,2
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,-203,203
3. Tiền thu từ đi vay,"13,584","4,207","3,891","4,967","10,753"
4. Tiền trả nợ gốc vay,"-12,244","-3,937","-4,447","-3,653","-9,137"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-750,,-412,-343,-1
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,604,275,-969,777,"1,820"
Lưu chuyển tiền thuần trong kỳ,250,372,-731,"1,714",230
Tiền và tương đương tiền đầu kỳ,"2,319","2,751","3,123","2,392","4,107"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"2,569","3,123","2,392","4,107","4,336"
