LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,454","4,970","3,309","3,908","4,063"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,592,665,586,845,552
Các khoản dự phòng,83,-199,50,-27,177
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-13,-4,56,7,44
"Lãi, lỗ từ hoạt động đầu tư",-447,-286,-293,-265,-596
Chi phí lãi vay,63,63,125,110,98
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,-7,7
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,732","5,208","3,834","4,570","4,344"
"Tăng, giảm các khoản phải thu",569,-592,"-2,127","-1,082","2,635"
"Tăng, giảm hàng tồn kho",-459,201,-444,-147,887
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-86,"-1,093","2,786","1,545","-2,281"
"Tăng, giảm chi phí trả trước",-174,-4,-45,-81,-91
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-147,41,-110,-96,-117
Thuế thu nhập doanh nghiệp đã nộp,-473,-605,-979,-626,-722
Tiền thu khác từ hoạt động kinh doanh,9,4,-17,19,16
Tiền chi khác cho hoạt động kinh doanh,131,-299,-2,-126,-23
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,101","2,860","2,895","3,977","4,649"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-277,-590,-321,-224,-133
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",42,-30,-42,42,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-3,110","-5,070","-1,996","-6,245","-6,087"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","1,246","4,879",600,521,"5,700"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,-70
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,25,,25,-1
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",382,327,254,228,664
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-1,716",-460,"-1,505","-5,653",72
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,61,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"1,061","1,364",630,574,757
4. Tiền trả nợ gốc vay,-863,"-1,441",-929,"-1,127","-2,750"
5. Tiền trả nợ gốc thuê tài chính,-6,-4,-4,-4,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,196","-1,711",,"-2,700","-5,144"
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,004","-1,793",-242,"-3,258","-7,137"
Lưu chuyển tiền thuần trong kỳ,"-1,620",607,"1,148","-4,934","-2,416"
Tiền và tương đương tiền đầu kỳ,"14,515","12,898","13,518","14,666","9,718"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,3,-3,,1,
Tiền và tương đương tiền cuối kỳ,"12,898","13,502","14,666","9,718","7,303"
