LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q1/2017,Q2/2017,Q3/2017,Q1/2018,Q3/2018
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/07-30/09
Hợp nhất,Công ty mẹ,Mới nhất,Mới nhất,Công ty mẹ,Mới nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",89,-89,327,71,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ,-64,64,-294,-76,
3. Tiền chi trả cho người lao động,-22,22,-51,-22,
4. Tiền chi trả lãi vay,,,-7,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp,,,-14,,
6. Tiền thu khác từ hoạt động kinh doanh,49,-49,257,"1,602",
7. Tiền chi khác cho hoạt động kinh doanh,-209,209,-903,-291,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-158,158,-686,"1,286",
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-3,3,-5,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,,,-18,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",113,-113,174,98,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-220,220,-772,-223,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,6,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",334,-334,"1,063",293,
8. Tiền thu khác từ hoạt động đầu tư,,,,,
9. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,223,-223,467,150,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,,,,
4. Tiền chi trả nợ gốc vay,-119,119,-135,-3,
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-119,119,-135,-3,
Lưu chuyển tiền thuần trong kỳ,-54,54,-354,"1,433",
Tiền và tương đương tiền đầu kỳ,"1,037",983,,351,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,983,,683,"1,784",
