LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2017,Q2/2017,Q3/2017,Q1/2018,Q3/2018
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/07-30/09
Hợp nhất,Công ty mẹ,Mới nhất,Mới nhất,Công ty mẹ,Mới nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,,"1,820","-1,820",,-112
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,,723,-723,,-16
Các khoản dự phòng,,55,-55,,494
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,-3,3,,-175
"Lãi, lỗ từ hoạt động đầu tư",,-854,854,,32
Chi phí lãi vay,,290,-290,,-11
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,-145,145,,-51
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,"1,886","-1,886",,162
"Tăng, giảm các khoản phải thu",,-47,47,,-264
"Tăng, giảm hàng tồn kho",,-932,932,,-707
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",,762,-762,,-568
"Tăng, giảm chi phí trả trước",,-260,260,,579
"Tăng, giảm chứng khoán kinh doanh",,21,-21,,
Tiền lãi vay đã trả,,-300,300,,138
Thuế thu nhập doanh nghiệp đã nộp,,-307,307,,-48
Tiền thu khác từ hoạt động kinh doanh,,"1,340","-1,340",,-24
Tiền chi khác cho hoạt động kinh doanh,,"-2,184","2,184",,"2,032"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,,-22,22,,"1,301"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,"-1,170","1,170",,446
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,"1,094","-1,094",,-306
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,"-3,802","3,802",,842
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,"3,384","-3,384",,-816
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,-214,214,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,13,-13,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,434,-434,,-90
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,,-262,262,,77
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,"-1,537"
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,,"2,619","-2,619",,744
4. Tiền trả nợ gốc vay,,"-2,571","2,571",,-995
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-29,29,,117
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,,19,-19,,"-1,671"
Lưu chuyển tiền thuần trong kỳ,,-265,265,,-293
Tiền và tương đương tiền đầu kỳ,,,"5,792",,"4,519"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,1,-1,,175
Tiền và tương đương tiền cuối kỳ,,"5,792",,,"3,759"
