LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"4,553","4,502","4,842","5,237","5,608"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,999","-2,226","-2,493","-2,667","-2,319"
3. Thu nhập từ hoạt động dịch vụ nhận được,98,141,135,159,176
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",190,156,125,106,75
5. Thu nhập khác,119,15,22,83,84
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",46,32,47,54,56
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,230","-1,206","-1,212","-1,223","-1,909"
8. Tiền thuế thu nhập thực nộp trong kỳ,-202,-157,-222,-214,-259
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"1,575","1,258","1,244","1,533","1,511"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-200,"-1,100",50,100,590
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-2,471","4,489","1,960","-1,222",-325
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,-197,208,,-2,2
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-2,231","-5,805","-8,845","-2,386","-6,157"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-227,-230,-209,-257,-869
14. (Tăng)/Giảm khác về tài sản hoạt động,727,-230,-943,"1,089","-3,732"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"5,760","-5,731",-13,38,"-1,996"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","11,033","-6,456",-311,"9,022","6,850"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-1,906","-1,366","3,363","-5,140","1,101"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),177,-797,"3,616","2,281","4,986"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-18,1,13,-12,-5
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,2,28,-30,14
21. Tăng/(Giảm) khác về công nợ hoạt động,29,-201,185,-102,9
22. Chi từ các quỹ của TCTD,-2,-2,,-1,-1
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"12,048","-15,959",139,"4,912","1,978"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,46,-42,-46,-26,-70
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1,,98,,34
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,-5,,-1
4. Mua sắm bất động sản đầu tư,-6,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,25,-25
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,-16,41
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",62,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",7,,27,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,110,-42,74,-17,-21
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,-159
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,-159
IV- Lưu chuyển tiền thuần trong kỳ,"12,159","-16,001",213,"4,896","1,798"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"39,457",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,-17,8,-1,2,-9
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"12,142","23,464",212,"4,898","1,789"
