LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2008,Q3/2011,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/04-30/06,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,,,897,"1,297","1,221"
2. Chi phí lãi và các chi phí tương tự đã trả,,,"-1,094","-1,088","-1,274"
3. Thu nhập từ hoạt động dịch vụ nhận được,,,7,10,15
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,,-7,"1,102",-13
5. Thu nhập khác,,,172,-24,-9
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",,,8,9,21
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,,-157,-71,-200
8. Tiền thuế thu nhập thực nộp trong kỳ,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,,,-173,"1,236",-240
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",,,72,-239,"-2,316"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,,,"-3,199",647,86
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,-4,4,
12. (Tăng)/Giảm các khoản cho vay khách hàng,,,"-1,731",248,"-2,828"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,,,,,
14. (Tăng)/Giảm khác về tài sản hoạt động,,,"-4,103",-332,"3,912"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,,,-413,-22,-6
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",,,"-1,513","1,112","2,652"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),,,"10,526","-1,961",444
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),,,-844,-847,-874
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,,,59,-220,164
22. Chi từ các quỹ của TCTD,,,-1,-2,-4
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,,,"-1,325",-376,992
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,,,-189,174,-20
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,,,,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,-1
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,-2
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,1,116,26
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,,,-188,290,3
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,-281,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,-281,
IV- Lưu chuyển tiền thuần trong kỳ,,,"-1,513",-366,995
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"4,858",,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,,,"3,344",-366,995
