LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"2,657","3,096","4,272","5,332","7,690"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,"1,092","1,139","1,181","1,364","1,455"
Các khoản dự phòng,22,12,4,-10,28
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",281,-261,43,-11,-3
"Lãi, lỗ từ hoạt động đầu tư",-62,-122,-141,-166,-723
Chi phí lãi vay,481,523,541,646,622
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,18,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"4,472","4,386","5,900","7,174","9,070"
"Tăng, giảm các khoản phải thu","-1,577",628,"-1,913",-512,"-3,364"
"Tăng, giảm hàng tồn kho",53,"-1,772",131,"-5,474","-1,849"
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","-1,212","2,552",-374,"3,286",-759
"Tăng, giảm chi phí trả trước",37,43,43,-212,-53
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-375,-504,-519,-630,-639
Thuế thu nhập doanh nghiệp đã nộp,-432,-41,-268,-976,-495
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-252,-30,-24,-22,-318
Lưu chuyển tiền thuần từ hoạt động kinh doanh,714,"5,262","2,976","2,635","1,593"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-3,448","-2,478","-1,899","-4,091","-1,399"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",16,10,1,7,2
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-1,035","-3,591","-5,113","-2,233","-7,952"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",800,569,906,"2,728","5,214"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,,827
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",69,89,75,119,267
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-3,597","-5,401","-6,029","-3,470","-3,042"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,2,,3
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"16,924","17,637","22,818","25,695","30,267"
4. Tiền trả nợ gốc vay,"-12,425","-16,160","-20,236","-16,782","-28,496"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-5,-8,"-1,393",-13,-7
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"4,494","1,468","1,191","8,900","1,768"
Lưu chuyển tiền thuần trong kỳ,"1,612","1,330","-1,862","8,065",319
Tiền và tương đương tiền đầu kỳ,"4,545","6,158","7,490","5,629","13,696"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,1,2,1,2,3
Tiền và tương đương tiền cuối kỳ,"6,158","7,490","5,629","13,696","14,019"
