LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất
Kiểm toán,VST Tính,VST Tính,Chưa kiểm toán,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"5,059","8,094","10,137","7,696","6,336"
2. Chi phí lãi và các chi phí tương tự đã trả,"-3,113","-3,346","-3,737","-4,087","-4,572"
3. Thu nhập từ hoạt động dịch vụ nhận được,300,839,235,260,156
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",36,234,-70,80,157
5. Thu nhập khác,168,-252,1,5,1
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",-116,198,12,107,113
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-725,"-2,085","-1,527",-899,"-1,156"
8. Tiền thuế thu nhập thực nộp trong kỳ,,,-814,-313,-172
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"1,609","3,682","4,237","2,848",862
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-100,-200,400,101,
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-2,127","1,893","-6,409","4,526","1,497"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,,-360,-75,365
12. (Tăng)/Giảm các khoản cho vay khách hàng,-277,"-7,005","-6,403","-11,249","-10,226"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-218,-952,"-1,185",,
14. (Tăng)/Giảm khác về tài sản hoạt động,"-1,155",277,"-2,302","-5,922",-14
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-8,"2,940","-2,311",-653,-6
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","4,979","-10,938","-13,255","17,655","5,857"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"7,749","22,351","11,395","-3,157","4,275"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"-2,112","-1,690","10,253","-2,341","3,174"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,213,-245,-42,,
21. Tăng/(Giảm) khác về công nợ hoạt động,"-2,621",344,-274,-26,94
22. Chi từ các quỹ của TCTD,-12,-4,-1,-496,-37
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"5,920","10,452","-6,257","1,212","5,841"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-120,1,-101,-105,-168
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",1,3,1,15,
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-1,-3,-1,-13,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,53,,31,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-120,54,-101,-73,-168
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"2,650",,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,"2,650",,,,
IV- Lưu chuyển tiền thuần trong kỳ,"8,450","10,506","-6,359","1,139","5,673"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,"44,675",1,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"8,450","10,506","38,316","1,140","5,673"
