LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Mới nhất,Mới nhất,Mới nhất,Đơn lẻ,Mới nhất
Kiểm toán,VST Tính,VST Tính,VST Tính,Chưa kiểm toán,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"4,763","5,294","6,684","6,455","6,916"
2. Chi phí lãi và các chi phí tương tự đã trả,"-1,985","-3,099","-2,642","-3,579","-2,821"
3. Thu nhập từ hoạt động dịch vụ nhận được,225,160,307,231,290
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",51,,32,80,287
5. Thu nhập khác,-49,51,-120,161,-169
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",31,38,30,29,188
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-956,-520,"-2,062",-938,"-1,508"
8. Tiền thuế thu nhập thực nộp trong kỳ,,-222,-345,-201,-359
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"2,081","1,702","1,885","2,238","2,824"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","1,009","1,060",-845,300,492
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-1,620","-1,972","-3,252","-2,719",-681
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,82,-40,89,-48,133
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-8,489","-4,602","-13,125","1,205","-20,736"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-414,-4,-1,,-243
14. (Tăng)/Giảm khác về tài sản hoạt động,209,-443,317,-350,189
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-16,-12,"1,521","-1,549",-9
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","-5,908","7,174","27,703","-3,846","3,184"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"8,494","-7,330","1,434","-2,813","8,325"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"6,741","-1,716","3,096","2,150",-38
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,812,-738
21. Tăng/(Giảm) khác về công nợ hoạt động,-276,155,133,-50,"3,523"
22. Chi từ các quỹ của TCTD,-171,,-2,-50,-17
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,722","-6,028","18,954","-4,670","-3,842"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-165,42,-203,-85,59
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",-2,9,4,2,2
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",2,-9,-3,-1,-3
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,1
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-165,42,-203,-84,59
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,350
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,,,,350
IV- Lưu chuyển tiền thuần trong kỳ,"1,557","-5,986","18,750","-4,754","-3,433"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,,,"33,907",
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"1,557","-5,986","18,750","29,152","-3,433"
