LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"7,356","9,295","5,866","6,600","12,487"
2. Chi phí lãi và các chi phí tương tự đã trả,"-5,186","-6,964","-4,807","-4,340","-4,486"
3. Thu nhập từ hoạt động dịch vụ nhận được,"2,913",820,861,"1,011",514
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",9,60,121,208,88
5. Thu nhập khác,-10,-8,94,-159,-84
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",128,29,118,245,553
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,447","-1,334","-1,038","-1,447","-2,207"
8. Tiền thuế thu nhập thực nộp trong kỳ,,-987,-578,-604,-571
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"3,762",910,638,"1,514","6,293"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-369,369,-300,300,"-7,328"
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-4,465","5,871","-8,009","-5,188","-3,990"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,70,,,-175,166
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-11,808","-32,256","-9,708","-2,354","-11,836"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-3,056",122,-122,,"-1,084"
14. (Tăng)/Giảm khác về tài sản hoạt động,"7,018","1,508",-107,-190,-706
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-17,"1,000",-996,"1,887",-709
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",195,"5,743",-188,"29,214","30,467"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"8,990","24,603","26,103","-16,795","11,869"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"1,775","-5,412","6,347","-1,522","8,136"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,76,559,638,"-1,273",
21. Tăng/(Giảm) khác về công nợ hoạt động,-180,708,-543,"-1,010",805
22. Chi từ các quỹ của TCTD,-23,-46,-242,-21,-8
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,968","3,678","13,512","4,387","32,077"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-54,-49,-465,-148,-445
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",,1,,20,98
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",-9,-2,-2,-22,25
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-33,,-200,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,18,-18,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",18,,30,45,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-77,-32,-655,-105,-323
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"5,000",,,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,"5,000",,,,
IV- Lưu chuyển tiền thuần trong kỳ,"6,891","3,646","12,856","4,282","31,754"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"52,020",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"6,891","55,667","12,856","4,282","31,754"
