LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Đơn lẻ,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"3,643","3,966","3,583","4,033","4,197"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,052","-2,675","-2,482","-2,555","-1,978"
3. Thu nhập từ hoạt động dịch vụ nhận được,116,37,68,108,181
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",-32,8,38,12,31
5. Thu nhập khác,-80,-116,124,-6,-14
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",7,21,2,9,23
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-1,059",-753,-908,-739,"-1,316"
8. Tiền thuế thu nhập thực nộp trong kỳ,-76,-76,-101,-110,-115
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,466,411,323,751,"1,008"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",300,-250,"-1,555",51,258
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,-741,-748,"2,442","1,088","-1,567"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,5,-23,-7,-14,22
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-3,999","-4,564","-5,452","-5,533","-5,780"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,-305,,-23,-443,-154
14. (Tăng)/Giảm khác về tài sản hoạt động,462,-299,510,-157,108
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"5,037","-4,743","1,225","-1,531","-2,009"
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","4,953","4,651","-1,535","-3,593","1,570"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"-2,594",895,"4,209","2,944","3,850"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),119,"4,767","3,879","4,977","4,413"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-6,-2,4,-4,-1
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-49,,,,
21. Tăng/(Giảm) khác về công nợ hoạt động,12,104,-38,224,-54
22. Chi từ các quỹ của TCTD,-9,,-201,-8,-1
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"3,651",199,"3,780","-1,247","1,663"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-201,-33,-89,-58,-255
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",2,1,7,3,-6
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",6,-2,-4,-1,6
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",,,,,
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",,,,,
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,,,,
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-194,-34,-85,-56,-254
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,-388,"1,006",,,
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",388,,,,
5. Tiền chi ra mua cổ phiếu quỹ,,,,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,"1,006",,,
IV- Lưu chuyển tiền thuần trong kỳ,"3,457","1,171","3,695","-1,304","1,409"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"12,128",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"3,457","13,299","3,695","-1,304","1,409"
