LƯU CHUYỂN TIỀN TỆ TRỰC TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,"6,806","7,198","7,448","7,668","8,642"
2. Chi phí lãi và các chi phí tương tự đã trả,"-2,646","-2,439","-2,586","-3,033","-3,453"
3. Thu nhập từ hoạt động dịch vụ nhận được,873,759,"1,055",499,873
"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",184,204,250,448,376
5. Thu nhập khác,298,20,43,63,36
"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",139,239,378,837,484
"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ","-2,685","-2,475","-1,985","-1,920","-2,828"
8. Tiền thuế thu nhập thực nộp trong kỳ,-436,-313,-492,-459,-548
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,"2,535","3,192","4,111","4,103","3,582"
Những thay đổi về tài sản hoạt động,,,,,
"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác","4,327",950,249,"-1,129",-742
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,"-8,749","-6,689","-5,085","5,573","-6,243"
11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,,-1,1,-78,63
12. (Tăng)/Giảm các khoản cho vay khách hàng,"-9,801","-14,482","-9,756","-1,287","-10,119"
13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,"-1,461","-1,118","-1,545",-435,"-1,835"
14. (Tăng)/Giảm khác về tài sản hoạt động,"2,929","-4,013","1,849","-1,341","2,171"
Những thay đổi về công nợ hoạt động,,,,,
15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,-230,,,,
"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng","1,776","12,338","-3,965","-10,449","-8,081"
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),"8,111","2,813","16,199","-4,846","15,963"
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"5,063","3,858","3,864","5,209","2,200"
"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",35,-31,14,-38,37
20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-6,-6,62,-62,
21. Tăng/(Giảm) khác về công nợ hoạt động,"2,221",772,"1,318","2,321","1,664"
22. Chi từ các quỹ của TCTD,-155,-28,-17,-32,-130
I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,"6,594","-2,445","7,299","-2,491","-1,471"
Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1. Mua sắm tài sản cố định,-181,-70,-236,-145,-251
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",-23,,1,,2
"3. Tiền chi từ thanh lý, nhượng bán TSCĐ",,,,,
4. Mua sắm bất động sản đầu tư,,,,,
"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",,,,,
"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư",,,,,
"7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)",-2,,,-1,1
"8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)",-257,90,-90,,1
"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",-12,1,43,15,20
II- Lưu chuyển tiền thuần từ hoạt động đầu tư,-476,21,-282,-131,-228
Lưu chuyển tiền từ hoạt động tài chính,,,,,
1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,,,,,432
2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,,,,
"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",,,"-1,304",,
5. Tiền chi ra mua cổ phiếu quỹ,,"-1,037",,,
6. Tiền thu được do bán cổ phiếu quỹ,,,,,
III- Lưu chuyển tiền thuần từ hoạt động tài chính,,"-1,037","-1,304",,432
IV- Lưu chuyển tiền thuần trong kỳ,"6,118","-3,461","5,713","-2,621","-1,267"
V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,,"47,648",,,
VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,,,,,
VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,"6,118","44,187","5,713","-2,621","-1,267"
